pos,offense,off_pct,defense,def_pct,special_teams,st_pct,player_id,player_name,team
QB,109,9.05%,0,0%,0,0%,BlouDa00,David Blough,crd
QB,229,19.00%,0,0%,0,0%,McCoCo00,Colt McCoy,crd
QB,719,59.67%,0,0%,0,0%,MurrKy00,Kyler Murray,crd
QB,148,12.28%,0,0%,0,0%,McSoTr00,Trace McSorley,crd
RB,663,55.02%,0,0%,0,0%,ConnJa00,James Conner,crd
RB,315,26.14%,0,0%,47,10.33%,BenjEn00,Eno Benjamin,crd
RB,99,8.22%,0,0%,48,10.55%,WillDa10,Darrel Williams,crd
RB,73,6.06%,0,0%,102,22.42%,ClemCo00,Corey Clement,crd
RB,0,0%,0,0%,58,12.75%,WardJo00,Jonathan Ward,crd
RB,104,8.63%,0,0%,48,10.55%,IngrKe01,Keaontay Ingram,crd
RB,2,.17%,0,0%,5,1.10%,WillTy01,Ty'Son Williams,crd
WR,459,38.09%,0,0%,0,0%,MoorRo02,Rondale Moore,crd
WR,783,64.98%,0,0%,0,0%,BrowMa04,Marquise Brown,crd
WR,513,42.57%,0,0%,113,24.84%,DortGr01,Greg Dortch,crd
WR,555,46.06%,0,0%,0,0%,HopkDe00,DeAndre Hopkins,crd
WR,554,45.98%,0,0%,1,.22%,GreeA.00,A.J. Green,crd
WR,67,5.56%,0,0%,5,1.10%,IsabAn00,Andy Isabella,crd
WR,209,17.34%,0,0%,0,0%,AndeRo04,Robbie Chosen,crd
WR,25,2.07%,0,0%,50,10.99%,CoopPh00,Pharoh Cooper,crd
WR,118,9.79%,0,0%,20,4.40%,BaccAn00,Andre Baccellia,crd
WR,5,.41%,0,0%,0,0%,WimsJa00,Javon Wims,crd
TE,575,47.72%,0,0%,3,.66%,ErtzZa00,Zach Ertz,crd
TE,132,10.95%,0,0%,272,59.78%,AndeSt01,Stephen Anderson,crd
TE,169,14.02%,0,0%,88,19.34%,WillMa04,Maxx Williams,crd
TE,599,49.71%,0,0%,167,36.70%,McBrTr01,Trey McBride,crd
T,575,47.72%,0,0%,21,4.62%,HumpD.00,D.J. Humphries,crd
T,1180,97.93%,0,0%,42,9.23%,BeacKe00,Kelvin Beachum,crd
T,156,12.95%,0,0%,11,2.42%,CowaRa00,Rashaad Coward,crd
T,0,0%,0,0%,4,.88%,TraoBa00,Badara Traore,crd
G,263,21.83%,0,0%,5,1.10%,PughJu00,Justin Pugh,crd
"C,G",228,18.92%,0,0%,55,12.09%,HarlSe00,Sean Harlow,crd
G,845,70.12%,0,0%,23,5.05%,HernWi00,Will Hernandez,crd
G,350,29.05%,0,0%,38,8.35%,FordCo00,Cody Ford,crd
"C,G",209,17.34%,0,0%,37,8.13%,SmitLe01,Lecitus Smith,crd
G,624,51.78%,0,0%,59,12.97%,JoneJo07,Josh Jones,crd
G,544,45.15%,0,0%,27,5.93%,GarcMa00,Max Garcia,crd
G,1,.08%,0,0%,0,0%,DaviWy00,Wyatt Davis,crd
C,754,62.57%,0,0%,0,0%,PricBi01,Billy Price,crd
C,303,25.15%,0,0%,0,0%,HudsRo00,Rodney Hudson,crd
DE,0,0%,660,59.41%,60,13.19%,AlleZa01,Zach Allen,crd
DE,0,0%,282,25.38%,51,11.21%,DogbMi00,Michael Dogbe,crd
DE,0,0%,815,73.36%,0,0%,WattJ.00,J.J. Watt,crd
DE,0,0%,275,24.75%,56,12.31%,LedbJo01,Jonathan Ledbetter,crd
DE,0,0%,59,5.31%,9,1.98%,JoneMa07,Manny Jones,crd
"DE,LB",0,0%,236,21.24%,57,12.53%,ThomCa03,Cameron Thomas,crd
DT,0,0%,499,44.91%,133,29.23%,FotuLe00,Leki Fotu,crd
DT,0,0%,14,1.26%,6,1.32%,BankEr00,Eric Banks,crd
DT,0,0%,90,8.10%,8,1.76%,HillTr00,Trysten Hill,crd
DT,0,0%,13,1.17%,0,0%,WoodAn02,Antwaun Woods,crd
NT,0,0%,112,10.08%,9,1.98%,LawrRa01,Rashard Lawrence,crd
LB,0,0%,1024,92.17%,51,11.21%,CollZa00,Zaven Collins,crd
LB,0,0%,896,80.65%,0,0%,SimmIs00,Isaiah Simmons,crd
LB,0,0%,84,7.56%,29,6.37%,VigiNi00,Nick Vigil,crd
LB,0,0%,209,18.81%,306,67.25%,GardDe01,Dennis Gardeck,crd
LB,0,0%,107,9.63%,328,72.09%,TurnZe00,Zeke Turner,crd
LB,0,0%,280,25.20%,375,82.42%,VallTa00,Tanner Vallejo,crd
LB,0,0%,249,22.41%,241,52.97%,DimuVi00,Victor Dimukeje,crd
LB,0,0%,96,8.64%,0,0%,KennDe00,Devon Kennard,crd
LB,0,0%,781,70.30%,0,0%,GoldMa00,Markus Golden,crd
LB,0,0%,481,43.29%,184,40.44%,NiemBe00,Ben Niemann,crd
LB,0,0%,259,23.31%,15,3.30%,SandMy00,Myjai Sanders,crd
LB,0,0%,56,5.04%,163,35.82%,GrugKa00,Kamu Grugier-Hill,crd
LB,0,0%,47,4.23%,82,18.02%,LukeJe00,Jesse Luketa,crd
CB,0,0%,593,53.38%,21,4.62%,MurpBy00,Byron Murphy,crd
CB,0,0%,777,69.94%,76,16.70%,WilsMa04,Marco Wilson,crd
CB,0,0%,418,37.62%,122,26.81%,HamiAn01,Antonio Hamilton,crd
CB,0,0%,281,25.29%,56,12.31%,WhitJa05,Jace Whittaker,crd
CB,0,0%,3,.27%,26,5.71%,HairNa00,Nate Hairston,crd
CB,0,0%,124,11.16%,64,14.07%,MullTr00,Trayvon Mullen,crd
CB,0,0%,0,0%,5,1.10%,JackJo01,Josh Jackson,crd
SS,0,0%,968,87.13%,58,12.75%,BakeBu00,Budda Baker,crd
SS,0,0%,6,.54%,49,10.77%,ThomDe06,Deionte Thompson,crd
SS,0,0%,14,1.26%,19,4.18%,ThomJo06,Josh Thomas,crd
FS,0,0%,1097,98.74%,16,3.52%,ThomJa04,Jalen Thompson,crd
FS,0,0%,77,6.93%,287,63.08%,BanjCh00,Chris Banjo,crd
FS,0,0%,0,0%,119,26.15%,WashCh01,Charles Washington,crd
"CB,DB",0,0%,235,21.15%,180,39.56%,MattCh01,Christian Matthew,crd
LS,0,0%,0,0%,13,2.86%,BradHu00,Hunter Bradley,crd
LS,0,0%,0,0%,116,25.49%,BrewAa00,Aaron Brewer,crd
K,0,0%,0,0%,19,4.18%,BlanRo03,Rodrigo Blankenship,crd
K,0,0%,0,0%,11,2.42%,VizcTr00,Tristan Vizcaino,crd
K,0,0%,0,0%,12,2.64%,AmmeMa00,Matt Ammendola,crd
K,0,0%,0,0%,92,20.22%,PratMa20,Matt Prater,crd
P,0,0%,0,0%,129,28.35%,LeexAn20,Andy Lee,crd
QB,776,73.83%,0,0%,0,0%,MariMa01,Marcus Mariota,atl
QB,271,25.78%,0,0%,0,0%,RiddDe00,Desmond Ridder,atl
QB,4,.38%,0,0%,0,0%,WoodLo00,Logan Woodside,atl
"QB,TE",54,5.14%,0,0%,91,20.92%,FranFe00,Feleipe Franks,atl
RB,382,36.35%,0,0%,60,13.79%,PattCo00,Cordarrelle Patterson,atl
RB,141,13.42%,1,.09%,318,73.10%,WillAv02,Avery Williams,atl
RB,497,47.29%,0,0%,30,6.90%,AllgTy00,Tyler Allgeier,atl
RB,10,.95%,0,0%,0,0%,WillDa05,Damien Williams,atl
RB,120,11.42%,0,0%,0,0%,HuntCa02,Caleb Huntley,atl
FB,259,24.64%,1,.09%,261,60.00%,SmitKe03,Keith Smith,atl
WR,819,77.93%,0,0%,0,0%,LondDr00,Drake London,atl
WR,737,70.12%,0,0%,33,7.59%,ZaccOl01,Olamide Zaccheaus,atl
WR,199,18.93%,1,.09%,259,59.54%,HodgKh00,KhaDarel Hodge,atl
WR,91,8.66%,0,0%,0,0%,EdwaBr01,Bryan Edwards,atl
WR,312,29.69%,0,0%,0,0%,ByrdDa00,Damiere Byrd,atl
WR,54,5.14%,0,0%,28,6.44%,DarbFr00,Frank Darby,atl
WR,14,1.33%,0,0%,0,0%,AlixJo00,Josh Ali,atl
WR,9,.86%,0,0%,0,0%,BernJa00,Jared Bernhardt,atl
TE,434,41.29%,0,0%,0,0%,PittKy00,Kyle Pitts,atl
TE,646,61.47%,0,0%,221,50.80%,HessPa00,Parker Hesse,atl
TE,321,30.54%,0,0%,75,17.24%,PruiMy00,MyCole Pruitt,atl
TE,149,14.18%,0,0%,1,.23%,FirkAn00,Anthony Firkser,atl
T,1047,99.62%,0,0%,72,16.55%,MattJa00,Jake Matthews,atl
T,574,54.61%,0,0%,32,7.36%,WilkEl00,Elijah Wilkinson,atl
T,1051,100.00%,0,0%,72,16.55%,McGaKa00,Kaleb McGary,atl
T,8,.76%,0,0%,72,16.55%,IfedGe00,Germain Ifedi,atl
T,55,5.23%,0,0%,5,1.15%,EdogCh00,Chuma Edoga,atl
G,1047,99.62%,0,0%,72,16.55%,LindCh00,Chris Lindstrom,atl
G,267,25.40%,0,0%,72,16.55%,GossCo00,Colby Gossett,atl
G,5,.48%,0,0%,35,8.05%,NeuzRy00,Ryan Neuzil,atl
C,1051,100.00%,0,0%,0,0%,DalmDr00,Drew Dalman,atl
C,157,14.94%,0,0%,39,8.97%,HennMa00,Matt Hennessy,atl
DE,0,0%,471,41.98%,44,10.11%,GrahTa00,Ta'Quon Graham,atl
DE,0,0%,433,38.59%,69,15.86%,AndeAb00,Abdullah Anderson,atl
DT,0,0%,856,76.29%,4,.92%,JarrGr00,Grady Jarrett,atl
DT,0,0%,87,7.75%,0,0%,RushAn00,Anthony Rush,atl
DT,0,0%,385,34.31%,66,15.17%,HornTi00,Timmy Horne,atl
DT,0,0%,145,12.92%,33,7.59%,DaltJa00,Jalen Dalton,atl
DT,0,0%,95,8.47%,16,3.68%,JohnJa09,Jaleel Johnson,atl
DT,0,0%,96,8.56%,13,2.99%,DickMa00,Matt Dickerson,atl
LB,0,0%,769,68.54%,5,1.15%,WalkMy00,Mykal Walker,atl
LB,0,0%,1104,98.40%,0,0%,EvanRa01,Rashaan Evans,atl
LB,0,0%,909,81.02%,34,7.82%,CartLo01,Lorenzo Carter,atl
LB,0,0%,542,48.31%,96,22.07%,OgunAd01,Adetokunbo Ogundeji,atl
LB,0,0%,61,5.44%,60,13.79%,BellQu00,Quinton Bell,atl
LB,0,0%,516,45.99%,7,1.61%,EbikAr00,Arnold Ebiketie,atl
LB,0,0%,481,42.87%,263,60.46%,AndeTr00,Troy Andersen,atl
LB,0,0%,216,19.25%,216,49.66%,MaloDe00,DeAngelo Malone,atl
LB,0,0%,0,0%,228,52.41%,KwiaNi00,Nick Kwiatkoski,atl
LB,0,0%,22,1.96%,67,15.40%,LandNa01,Nathan Landman,atl
CB,0,0%,372,33.16%,52,11.95%,ArmsCo00,Cornell Armstrong,atl
CB,0,0%,799,71.21%,0,0%,TerrAJ00,AJ Terrell,atl
CB,0,0%,355,31.64%,0,0%,HaywCa00,Casey Hayward,atl
CB,0,0%,83,7.40%,361,82.99%,FordMi01,Mike Ford,atl
CB,0,0%,349,31.11%,77,17.70%,OlivIs00,Isaiah Oliver,atl
CB,0,0%,634,56.51%,57,13.10%,HallDa03,Darren Hall,atl
CB,0,0%,66,5.88%,5,1.15%,FentRa00,Rashad Fenton,atl
SS,0,0%,1117,99.55%,165,37.93%,GranRi00,Richie Grant,atl
SS,0,0%,140,12.48%,157,36.09%,MarlDe00,Dean Marlowe,atl
SS,0,0%,0,0%,55,12.64%,MoffJo01,Jovante Moffatt,atl
FS,0,0%,955,85.12%,49,11.26%,HawkJa00,Jaylinn Hawkins,atl
FS,0,0%,33,2.94%,299,68.74%,HarrEr00,Erik Harris,atl
"CB,DB",0,0%,246,21.93%,18,4.14%,AlfoDe00,DeAundre Alford,atl
LS,0,0%,0,0%,134,30.80%,McCuLi00,Liam McCullough,atl
K,0,0%,0,0%,72,16.55%,KooxYo00,Younghoe Koo,atl
P,0,0%,0,0%,214,49.20%,PiniBr00,Bradley Pinion,atl
QB,728,66.42%,0,0%,0,0%,JackLa00,Lamar Jackson,rav
QB,101,9.22%,0,0%,0,0%,BrowAn06,Anthony Brown,rav
QB,268,24.45%,0,0%,0,0%,HuntTy01,Tyler Huntley,rav
RB,366,33.39%,0,0%,6,1.39%,DrakKe00,Kenyan Drake,rav
RB,202,18.43%,0,0%,0,0%,DobbJK00,J.K. Dobbins,rav
RB,264,24.09%,0,0%,214,49.65%,HillJu00,Justice Hill,rav
RB,159,14.51%,0,0%,0,0%,EdwaGu00,Gus Edwards,rav
RB,42,3.83%,0,0%,0,0%,DaviMi01,Mike Davis,rav
FB,698,63.69%,0,0%,70,16.24%,RicaPa00,Patrick Ricard,rav
WR,190,17.34%,0,0%,1,.23%,BateRa00,Rashod Bateman,rav
WR,632,57.66%,0,0%,118,27.38%,DuveDe00,Devin Duvernay,rav
WR,637,58.12%,0,0%,4,.93%,RobiDe01,Demarcus Robinson,rav
WR,77,7.03%,0,0%,121,28.07%,WallTy00,Tylan Wallace,rav
WR,0,0%,0,0%,34,7.89%,WebbRa02,Raleigh Webb,rav
WR,78,7.12%,0,0%,0,0%,WatkSa00,Sammy Watkins,rav
WR,110,10.04%,0,0%,0,0%,JackDe00,DeSean Jackson,rav
WR,6,.55%,0,0%,8,1.86%,IsabAn00,Andy Isabella,rav
WR,5,.46%,0,0%,5,1.16%,VictBi01,Binjimen Victor,rav
WR,193,17.61%,0,0%,70,16.24%,ProcJa00,James Proche,rav
TE,787,71.81%,0,0%,2,.46%,AndrMa00,Mark Andrews,rav
TE,414,37.77%,0,0%,75,17.40%,LikeIs00,Isaiah Likely,rav
TE,514,46.90%,0,0%,127,29.47%,OlivJo00,Josh Oliver,rav
TE,61,5.57%,0,0%,108,25.06%,BoylNi00,Nick Boyle,rav
TE,36,3.28%,0,0%,4,.93%,KolaCh00,Charlie Kolar,rav
T,1024,93.43%,0,0%,60,13.92%,MoseMo00,Morgan Moses,rav
T,24,2.19%,0,0%,0,0%,JameJa01,Ja'Wuan James,rav
T,602,54.93%,0,0%,4,.93%,StanRo00,Ronnie Stanley,rav
T,170,15.51%,0,0%,71,16.47%,FaalDa00,Daniel Faalele,rav
G,1096,100.00%,0,0%,75,17.40%,PoweBe00,Ben Powers,rav
G,957,87.32%,0,0%,54,12.53%,ZeitKe00,Kevin Zeitler,rav
G,379,34.58%,0,0%,56,12.99%,MekaPa00,Patrick Mekari,rav
G,92,8.39%,0,0%,39,9.05%,ClevBe00,Ben Cleveland,rav
C,1094,99.82%,0,0%,0,0%,LindTy00,Tyler Linderbaum,rav
C,49,4.47%,4,.37%,17,3.94%,ColoTr01,Trystan Colon,rav
DE,0,0%,526,48.12%,0,0%,PierJa99,Jason Pierre-Paul,rav
DE,0,0%,550,50.32%,123,28.54%,CampCa99,Calais Campbell,rav
DE,0,0%,299,27.36%,86,19.95%,UrbaBr00,Brent Urban,rav
DT,0,0%,655,59.93%,24,5.57%,MaduJu00,Nnamdi Madubuike,rav
DT,0,0%,483,44.19%,99,22.97%,WashBr01,Broderick Washington Jr.,rav
DT,0,0%,324,29.64%,116,26.91%,JoneTr00,Travis Jones,rav
DT,0,0%,15,1.37%,0,0%,NichRa00,Rayshad Nichols,rav
NT,0,0%,91,8.33%,0,0%,PierMi00,Michael Pierce,rav
NT,0,0%,30,2.74%,0,0%,MackIs00,Isaiah Mack,rav
LB,0,0%,1026,93.87%,0,0%,QueePa00,Patrick Queen,rav
LB,0,0%,634,58.01%,22,5.10%,OwehJa00,Odafe Oweh,rav
LB,0,0%,397,36.32%,0,0%,HousJu00,Justin Houston,rav
LB,0,0%,248,22.69%,338,78.42%,HarrMa06,Malik Harrison,rav
LB,0,0%,533,48.76%,0,0%,SmitRo07,Roquan Smith,rav
LB,0,0%,29,2.65%,9,2.09%,MeanSt00,Steven Means,rav
LB,0,0%,355,32.48%,5,1.16%,BowsTy00,Tyus Bowser,rav
LB,0,0%,271,24.79%,0,0%,ByneJo00,Josh Bynes,rav
LB,0,0%,52,4.76%,5,1.16%,CopeBr00,Brandon Copeland,rav
LB,0,0%,4,.37%,336,77.96%,WelcKr00,Kristian Welch,rav
LB,0,0%,1,.09%,258,59.86%,PhilDe00,Del'Shawn Phillips,rav
LB,0,0%,0,0%,36,8.35%,RossJo01,Josh Ross,rav
LB,0,0%,0,0%,17,3.94%,StanJu00,Julian Stanford,rav
LB,0,0%,32,2.93%,0,0%,KennDe00,Devon Kennard,rav
LB,0,0%,8,.73%,0,0%,AttaJe00,Jeremiah Attaochu,rav
LB,0,0%,18,1.65%,8,1.86%,KleiAJ00,A.J. Klein,rav
LB,0,0%,21,1.92%,8,1.86%,OjabDa00,David Ojabo,rav
CB,0,0%,1053,96.34%,31,7.19%,HumpMa00,Marlon Humphrey,rav
CB,0,0%,80,7.32%,0,0%,FullKy00,Kyle Fuller,rav
CB,0,0%,736,67.34%,0,0%,PeteMa00,Marcus Peters,rav
CB,0,0%,6,.55%,282,65.43%,SeymKe00,Kevon Seymour,rav
CB,0,0%,64,5.86%,88,20.42%,WorlDa00,Daryl Worley,rav
SS,0,0%,1093,100.00%,74,17.17%,ClarCh00,Chuck Clark,rav
SS,0,0%,451,41.26%,301,69.84%,StonGe00,Geno Stone,rav
FS,0,0%,638,58.37%,0,0%,WillMa06,Marcus Williams,rav
FS,0,0%,453,41.45%,206,47.80%,StepBr01,Brandon Stephens,rav
FS,0,0%,25,2.29%,23,5.34%,WashAr00,Ar'Darius Washington,rav
"DB,FS",0,0%,548,50.14%,282,65.43%,HamiKy00,Kyle Hamilton,rav
"CB,DB",0,0%,226,20.68%,134,31.09%,WillDa15,Damarion Williams,rav
"CB,DB",0,0%,50,4.57%,57,13.23%,ArmoJa00,Jalyn Armour-Davis,rav
LS,0,0%,0,0%,132,30.63%,MoorNi00,Nick Moore,rav
K,0,0%,0,0%,161,37.35%,TuckJu00,Justin Tucker,rav
P,0,0%,0,0%,132,30.63%,StouJo00,Jordan Stout,rav
QB,1061,97.79%,0,0%,0,0%,AlleJo02,Josh Allen,buf
QB,24,2.21%,0,0%,0,0%,KeenCa00,Case Keenum,buf
RB,709,65.35%,0,0%,0,0%,SingDe00,Devin Singletary,buf
RB,73,6.73%,0,0%,0,0%,MossZa00,Zack Moss,buf
RB,5,.46%,0,0%,7,1.71%,JohnDu00,Duke Johnson,buf
RB,0,0%,0,0%,305,74.39%,JoneTa00,Taiwan Jones,buf
RB,66,6.08%,0,0%,93,22.68%,HineNy00,Nyheim Hines,buf
RB,269,24.79%,0,0%,1,.24%,CookJa01,James Cook,buf
FB,176,16.22%,0,0%,296,72.20%,GillRe00,Reggie Gilliam,buf
WR,926,85.35%,0,0%,4,.98%,DaviGa01,Gabriel Davis,buf
WR,836,77.05%,0,0%,4,.98%,DiggSt00,Stefon Diggs,buf
WR,555,51.15%,0,0%,28,6.83%,McKeIs00,Isaiah McKenzie,buf
WR,92,8.48%,0,0%,71,17.32%,KumeJa00,Jake Kumerow,buf
WR,275,25.35%,0,0%,18,4.39%,ShakKh00,Khalil Shakir,buf
WR,93,8.57%,0,0%,18,4.39%,CrowJa00,Jamison Crowder,buf
WR,16,1.47%,0,0%,3,.73%,HodgIs00,Isaiah Hodgins,buf
WR,22,2.03%,0,0%,0,0%,BrowJo02,John Brown,buf
