pos,offense,off_pct,defense,def_pct,special_teams,st_pct,player_id,player_name,team
QB,1045,90.79%,0,0%,0,0%,PalmCa00,Carson Palmer,crd
QB,106,9.21%,0,0%,0,0%,StanDr00,Drew Stanton,crd
RB,964,83.75%,0,0%,1,.21%,JohnDa08,David Johnson,crd
RB,11,.96%,0,0%,269,56.28%,TaylSt00,Stepfan Taylor,crd
RB,150,13.03%,0,0%,74,15.48%,ElliAn00,Andre Ellington,crd
RB,51,4.43%,0,0%,150,31.38%,WillKe05,Kerwynn Williams,crd
RB,42,3.65%,0,0%,0,0%,JohnCh04,Chris Johnson,crd
WR,1052,91.40%,1,.09%,3,.63%,FitzLa00,Larry Fitzgerald,crd
WR,679,58.99%,0,0%,2,.42%,FloyMi00,Michael Floyd,crd
WR,595,51.69%,0,0%,33,6.90%,BrowJo02,John Brown,crd
WR,190,16.51%,0,0%,97,20.29%,BrowJa03,Jaron Brown,crd
WR,156,13.55%,1,.09%,236,49.37%,GoldBr00,Brittan Golden,crd
WR,38,3.30%,0,0%,1,.21%,RossJe01,Jeremy Ross,crd
WR,471,40.92%,0,0%,10,2.09%,NelsJJ00,JJ Nelson,crd
TE,62,5.39%,0,0%,68,14.23%,NiklTr00,Troy Niklas,crd
TE,370,32.15%,0,0%,22,4.60%,FellDa01,Darren Fells,crd
TE,52,4.52%,0,0%,180,37.66%,VallHa00,Hakeem Valles,crd
TE,835,72.55%,0,0%,1,.21%,GresJe00,Jermaine Gresham,crd
TE,31,2.69%,0,0%,80,16.74%,MomaIf00,Ifeanyi Momah,crd
T,212,18.42%,0,0%,0,0%,JohnUl00,Ulrick John,crd
T,577,50.13%,0,0%,33,6.90%,VeldJa20,Jared Veldheer,crd
T,921,80.02%,0,0%,53,11.09%,HumpD.00,D.J. Humphries,crd
T,6,.52%,0,0%,0,0%,PricGi00,Givens Price,crd
T,646,56.13%,0,0%,78,16.32%,WetzJo00,John Wetzel,crd
G,1034,89.83%,0,0%,69,14.44%,IupaMi20,Mike Iupati,crd
G,787,68.38%,0,0%,82,17.15%,WatfEa00,Earl Watford,crd
G,99,8.60%,0,0%,15,3.14%,BoggTa00,Taylor Boggs,crd
G,199,17.29%,0,0%,0,0%,MathEv20,Evan Mathis,crd
G,10,.87%,0,0%,9,1.88%,ToneCo00,Cole Toner,crd
C,1148,99.74%,0,0%,0,0%,ShipA.20,A.Q. Shipley,crd
C,122,10.60%,0,0%,82,17.15%,BoehEv00,Evan Boehm,crd
DT,0,0%,830,77.21%,160,33.47%,CampCa99,Calais Campbell,crd
DT,0,0%,116,10.79%,10,2.09%,StinEd00,Ed Stinson,crd
DT,0,0%,389,36.19%,107,22.38%,MaurJo00,Josh Mauro,crd
DT,0,0%,304,28.28%,1,.21%,RuckFr99,Frostee Rucker,crd
DT,0,0%,243,22.60%,101,21.13%,GuntRo00,Rodney Gunter,crd
DT,0,0%,82,7.63%,6,1.26%,NkemRo00,Robert Nkemdiche,crd
NT,0,0%,497,46.23%,126,26.36%,PeteCo00,Corey Peters,crd
NT,0,0%,118,10.98%,9,1.88%,WillXa00,Xavier Williams,crd
LB,0,0%,818,76.09%,50,10.46%,BucaDe00,Deone Bucannon,crd
LB,0,0%,938,87.26%,83,17.36%,JoneCh03,Chandler Jones,crd
LB,0,0%,1003,93.30%,48,10.04%,MintKe00,Kevin Minter,crd
LB,0,0%,761,70.79%,17,3.56%,GoldMa00,Markus Golden,crd
