pos,offense,off_pct,defense,def_pct,special_teams,st_pct,player_id,player_name,team
CB,0,0.00%,148,11.89%,212,44.82%,HallDa03,Darren Hall,crd
CB,0,0.00%,679,54.54%,80,16.91%,BurkDe01,Denzel Burke,crd
CB,0,0.00%,37,2.97%,68,14.38%,JoneEl00,Elijah Jones,crd
CB,0,0.00%,553,44.42%,14,2.96%,WillGa00,Garrett Williams,crd
CB,0,0.00%,38,3.05%,24,5.07%,DaviJa09,Jaden Davis,crd
CB,0,0.00%,201,16.14%,168,35.52%,ClarKe02,Kei'Trel Clark,crd
CB,0,0.00%,423,33.98%,41,8.67%,MeltMa00,Max Melton,crd
CB,0,0.00%,722,57.99%,8,1.69%,JohnWi02,Will Johnson,crd
DL,0,0.00%,36,2.89%,0,0.00%,GoodAn00,Anthony Goodlow,crd
DL,0,0.00%,60,4.82%,0,0.00%,NichBi00,Bilal Nichols,crd
DL,0,0.00%,524,42.09%,144,30.44%,CampCa99,Calais Campbell,crd
DL,0,0.00%,555,44.58%,23,4.86%,TomlDa00,Dalvin Tomlinson,crd
DL,0,0.00%,548,44.02%,127,26.85%,StilDa01,Dante Stills,crd
DL,0,0.00%,507,40.72%,51,10.78%,RobiDa01,Darius Robinson,crd
DL,0,0.00%,98,7.87%,0,0.00%,CollLJ00,L.J. Collier,crd
DL,0,0.00%,300,24.10%,78,16.49%,MustPJ00,PJ Mustipher,crd
DL,0,0.00%,169,13.57%,1,0.21%,NoleWa00,Walter Nolen,crd
DL,0,0.00%,100,8.03%,0,0.00%,CartZa00,Zachary Carter,crd
K,0,0.00%,0,0.00%,151,31.92%,RylaCh00,Chad Ryland,crd
LB,0,0.00%,781,62.73%,189,39.96%,DaviAk01,Akeem Davis-Gaither,crd
LB,0,0.00%,519,41.69%,16,3.38%,BrowBa01,Baron Browning,crd
LB,0,0.00%,204,16.39%,95,20.08%,OjulBJ00,BJ Ojulari,crd
LB,0,0.00%,4,0.32%,108,22.83%,TindCh00,Channing Tindall,crd
LB,0,0.00%,564,45.30%,172,36.36%,SimoCo01,Cody Simon,crd
LB,0,0.00%,0,0.00%,35,7.40%,BartJa01,Jared Bartlett,crd
LB,0,0.00%,504,40.48%,242,51.16%,BurcJo00,Jordan Burch,crd
LB,0,0.00%,540,43.37%,2,0.42%,SweaJo00,Josh Sweat,crd
LB,0,0.00%,521,41.85%,5,1.06%,WilsMa03,Mack Wilson,crd
LB,0,0.00%,96,7.71%,373,78.86%,PappOw00,Owen Pappoe,crd
LB,0,0.00%,15,1.20%,42,8.88%,ThomXa01,Xavier Thomas,crd
LB,0,0.00%,543,43.61%,111,23.47%,CollZa00,Zaven Collins,crd
LS,0,0.00%,0,0.00%,131,27.70%,BrewAa00,Aaron Brewer,crd
OL,0,0.00%,0,0.00%,6,1.27%,JoneCh12,Christian Jones,crd
OL,65,5.15%,0,0.00%,16,3.38%,JacoDe00,Demontrey Jacobs,crd
OL,770,61.06%,0,0.00%,42,8.88%,BrowEv00,Evan Brown,crd
OL,29,2.30%,0,0.00%,19,4.02%,ConnHa00,Hayden Conner,crd
OL,1121,88.90%,0,0.00%,63,13.32%,FrohHj00,Hjalte Froholdt,crd
OL,763,60.51%,0,0.00%,69,14.59%,AdamIs01,Isaiah Adams,crd
OL,0,0.00%,0,0.00%,4,0.85%,CurhJa00,Jake Curhan,crd
OL,339,26.88%,0,0.00%,69,14.59%,GainJo00,Jon Gaines,crd
OL,592,46.95%,0,0.00%,20,4.23%,WillJo10,Jonah Williams,crd
OL,289,22.92%,0,0.00%,49,10.36%,FryaJo00,Josh Fryar,crd
OL,667,52.89%,0,0.00%,41,8.67%,BeacKe00,Kelvin Beachum,crd
OL,807,64.00%,0,0.00%,48,10.15%,JohnPa03,Paris Johnson,crd
OL,396,31.40%,0,0.00%,8,1.69%,HernWi00,Will Hernandez,crd
P,0,0.00%,0,0.00%,44,9.30%,GillBl00,Blake Gillikin,crd
P,0,0.00%,0,0.00%,54,11.42%,HaacMa00,Matt Haack,crd
P,0,0.00%,0,0.00%,33,6.98%,ODonPa00,Pat O'Donnell,crd
QB,812,64.39%,0,0.00%,0,0.00%,BrisJa00,Jacoby Brissett,crd
QB,5,0.40%,0,0.00%,0,0.00%,SlovKe00,Kedon Slovis,crd
QB,318,25.22%,0,0.00%,0,0.00%,MurrKy00,Kyler Murray,crd
RB,30,2.38%,0,0.00%,6,1.27%,KineCo00,Corey Kiner,crd
RB,14,1.11%,0,0.00%,0,0.00%,JohnDE04,D'Ernest Johnson,crd
RB,196,15.54%,0,0.00%,70,14.80%,DemeEm00,Emari Demercado,crd
RB,93,7.38%,0,0.00%,0,0.00%,ConnJa00,James Conner,crd
RB,0,0.00%,0,0.00%,6,1.27%,JeffJe00,Jermar Jefferson,crd
RB,393,31.17%,0,0.00%,5,1.06%,CartMi03,Michael Carter,crd
RB,123,9.75%,0,0.00%,0,0.00%,BensTr01,Trey Benson,crd
RB,283,22.44%,0,0.00%,32,6.77%,KnigZo00,Zonovan Knight,crd
S,0,0.00%,1042,83.69%,93,19.66%,BakeBu00,Budda Baker,crd
S,0,0.00%,452,36.31%,173,36.58%,TaylDa02,Dadrion Taylor-Demerson,crd
