pos,offense,off_pct,defense,def_pct,special_teams,st_pct,player_id,player_name,team
QB,1081,99.72%,0,0%,0,0%,PalmCa00,Carson Palmer,crd
RB,131,12.08%,0,0%,229,48.52%,SmitAl22,Alfonso Smith,crd
RB,459,42.34%,0,0%,0,0%,MendRa00,Rashard Mendenhall,crd
RB,405,37.36%,0,0%,5,1.06%,ElliAn00,Andre Ellington,crd
RB,131,12.08%,0,0%,138,29.24%,TaylSt00,Stepfan Taylor,crd
WR,998,92.07%,0,0%,4,.85%,FitzLa00,Larry Fitzgerald,crd
WR,930,85.79%,0,0%,4,.85%,FloyMi00,Michael Floyd,crd
WR,605,55.81%,0,0%,1,.21%,RobeAn00,Andre Roberts,crd
WR,155,14.30%,0,0%,234,49.58%,BrowJa03,Jaron Brown,crd
WR,17,1.57%,0,0%,24,5.08%,TaylKe00,Kerry Taylor,crd
WR,46,4.24%,0,0%,4,.85%,GoldBr00,Brittan Golden,crd
WR,5,.46%,0,0%,48,10.17%,WillTe00,Teddy Williams,crd
TE,686,63.28%,0,0%,125,26.48%,DrayJi00,Jim Dray,crd
TE,520,47.97%,0,0%,19,4.03%,HousRo01,Rob Housler,crd
TE,51,4.70%,0,0%,121,25.64%,SperKo00,Kory Sperry,crd
TE,167,15.41%,0,0%,44,9.32%,BallJa21,Jake Ballard,crd
TE,16,1.48%,0,0%,33,6.99%,JeffD.00,D.C. Jefferson,crd
T,1063,98.06%,0,0%,73,15.47%,WinsEr20,Eric Winston,crd
T,262,24.17%,0,0%,14,2.97%,BrowLe20,Levi Brown,crd
T,56,5.17%,0,0%,0,0%,MassBo00,Bobby Massie,crd
T,825,76.11%,0,0%,73,15.47%,SoweBr00,Bradley Sowell,crd
T,79,7.29%,0,0%,50,10.59%,PottNa00,Nate Potter,crd
G,1084,100.00%,0,0%,73,15.47%,FanaPa20,Paul Fanaika,crd
G,1027,94.74%,0,0%,9,1.91%,CollDa20,Daryn Colledge,crd
C,1084,100.00%,0,0%,0,0%,SendLy20,Lyle Sendlein,crd
C,0,0%,0,0%,101,21.40%,GibsMi20,Mike Gibson,crd
DE,0,0%,963,89.00%,159,33.69%,CampCa99,Calais Campbell,crd
DE,0,0%,75,6.93%,34,7.20%,TallRo00,Ronald Talley,crd
DT,0,0%,865,79.94%,74,15.68%,DockDa20,Darnell Dockett,crd
DT,0,0%,356,32.90%,136,28.81%,RuckFr99,Frostee Rucker,crd
NT,3,.28%,225,20.79%,34,7.20%,Ta'aAl00,Alameda Ta'amu,crd
NT,0,0%,286,26.43%,37,7.84%,WillDa99,Dan Williams,crd
LB,0,0%,1078,99.63%,84,17.80%,DansKa20,Karlos Dansby,crd
LB,0,0%,203,18.76%,126,26.69%,BrinJa99,Jasper Brinkley,crd
LB,0,0%,798,73.75%,41,8.69%,WashDa99,Daryl Washington,crd
LB,0,0%,77,7.12%,41,8.69%,AlexLo99,Lorenzo Alexander,crd
LB,0,0%,102,9.43%,59,12.50%,AchoSa00,Sam Acho,crd
LB,0,0%,63,5.82%,56,11.86%,MochDo00,Dontay Moch,crd
LB,0,0%,717,66.27%,150,31.78%,ShauMa99,Matt Shaughnessy,crd
LB,0,0%,5,.46%,20,4.24%,OkafAl00,Alex Okafor,crd
LB,0,0%,862,79.67%,63,13.35%,AbraJo00,John Abraham,crd
LB,0,0%,6,.55%,19,4.03%,DemeKe00,Kenny Demens,crd
LB,0,0%,180,16.64%,218,46.19%,BenaMa00,Marcus Benard,crd
LB,0,0%,1,.09%,207,43.86%,MintKe00,Kevin Minter,crd
LB,0,0%,0,0%,5,1.06%,SootVi00,Vic So'oto,crd
CB,38,3.51%,1074,99.26%,158,33.47%,PetePa00,Patrick Peterson,crd
CB,0,0%,1031,95.29%,70,14.83%,PoweJe99,Jerraud Powers,crd
CB,0,0%,0,0%,320,67.80%,BethJu00,Justin Bethel,crd
CB,0,0%,0,0%,110,23.31%,McCaBr01,Bryan McCann,crd
CB,0,0%,102,9.43%,250,52.97%,ArenJa99,Javier Arenas,crd
CB,0,0%,164,15.16%,181,38.35%,CasoAn99,Antoine Cason,crd
SS,0,0%,1070,98.89%,167,35.38%,BellYe20,Yeremiah Bell,crd
SS,0,0%,0,0%,13,2.75%,TaylCu99,Curtis Taylor,crd
SS,0,0%,198,18.30%,208,44.07%,JeffTo00,Tony Jefferson,crd
FS,0,0%,621,57.39%,130,27.54%,JohnRa98,Rashad Johnson,crd
FS,0,0%,779,72.00%,126,26.69%,MathTy00,Tyrann Mathieu,crd
LS,0,0%,0,0%,152,32.20%,LeacMi00,Mike Leach,crd
K,0,0%,0,0%,159,33.69%,feelyjay01,Jay Feely,crd
P,0,0%,0,0%,153,32.42%,ZastDa20,Dave Zastudil,crd
QB,1065,98.89%,0,0%,0,0%,RyanMa00,Matt Ryan,atl
QB,12,1.11%,0,0%,0,0%,DaviDo02,Dominique Davis,atl
RB,417,38.72%,0,0%,0,0%,JackSt00,Steven Jackson,atl
RB,192,17.83%,0,0%,182,39.91%,DiMaPa00,Patrick DiMarco,atl
RB,435,40.39%,0,0%,151,33.11%,RodgJa00,Jacquizz Rodgers,atl
RB,226,20.98%,0,0%,110,24.12%,SnelJa00,Jason Snelling,atl
RB,5,.46%,0,0%,56,12.28%,VaugJo01,Josh Vaughan,atl
RB,25,2.32%,0,0%,240,52.63%,SmitAn01,Antone Smith,atl
FB,14,1.30%,0,0%,13,2.85%,EwinBr00,Bradie Ewing,atl
WR,295,27.39%,0,0%,1,.22%,JoneJu02,Julio Jones,atl
WR,926,85.98%,0,0%,22,4.82%,DougHa00,Harry Douglas,atl
WR,782,72.61%,0,0%,2,.44%,WhitRo00,Roddy White,atl
WR,401,37.23%,0,0%,16,3.51%,JohnDa06,Darius Johnson,atl
WR,342,31.75%,0,0%,200,43.86%,DaviDr00,Drew Davis,atl
WR,30,2.79%,0,0%,282,61.84%,ConeKe00,Kevin Cone,atl
WR,2,.19%,0,0%,11,2.41%,RobiBr00,Brian Robiskie,atl
TE,1003,93.13%,0,0%,0,0%,GonzTo00,Tony Gonzalez,atl
TE,192,17.83%,0,0%,131,28.73%,ToilLe00,Levine Toilolo,atl
TE,28,2.60%,0,0%,33,7.24%,CoffCh00,Chase Coffman,atl
T,189,17.55%,0,0%,11,2.41%,BakeSa21,Sam Baker,atl
T,1052,97.68%,0,0%,66,14.47%,HolmLa00,Lamar Holmes,atl
T,306,28.41%,0,0%,82,17.98%,SchrRy00,Ryan Schraeder,atl
T,628,58.31%,0,0%,63,13.82%,TrueJe20,Jeremy Trueblood,atl
G,682,63.32%,0,0%,68,14.91%,ReynGa20,Garrett Reynolds,atl
G,1077,100.00%,0,0%,66,14.47%,BlalJu20,Justin Blalock,atl
G,93,8.64%,0,0%,8,1.75%,GunnHa00,Harland Gunn,atl
C,889,82.54%,0,0%,5,1.10%,KonzPe00,Peter Konz,atl
C,539,50.05%,0,0%,112,24.56%,HawlJo20,Joe Hawley,atl
DE,0,0%,99,9.51%,13,2.85%,BierKr99,Kroy Biermann,atl
DE,0,0%,727,69.84%,6,1.32%,UmenOs99,Osi Umenyiora,atl
DE,0,0%,169,16.23%,193,42.32%,MattCl01,Cliff Matthews,atl
DE,0,0%,526,50.53%,66,14.47%,MassJo00,Jonathan Massaquoi,atl
DE,0,0%,302,29.01%,40,8.77%,GoodMa01,Malliciah Goodman,atl
DE,0,0%,126,12.10%,67,14.69%,MapoSt00,Stansly Maponga,atl
DT,0,0%,901,86.55%,153,33.55%,BabiJo20,Jonathan Babineaux,atl
DT,0,0%,654,62.82%,129,28.29%,PeteCo00,Corey Peters,atl
DT,0,0%,662,63.59%,87,19.08%,JerrPe99,Peria Jerry,atl
DT,0,0%,79,7.59%,2,.44%,RobeTr00,Travian Robertson,atl
LB,0,0%,391,37.56%,30,6.58%,WeatSe99,Sean Weatherspoon,atl
LB,0,0%,363,34.87%,194,42.54%,DentAk00,Akeem Dent,atl
LB,0,0%,33,3.17%,79,17.32%,GaitOm20,Omar Gaither,atl
LB,0,0%,771,74.06%,125,27.41%,WorrPa00,Paul Worrilow,atl
LB,0,0%,0,0%,14,3.07%,ChanJa98,Jamar Chaney,atl
LB,0,0%,0,0%,24,5.26%,HowaTh20,Thomas Howard,atl
LB,0,0%,130,12.49%,176,38.60%,NichSt99,Stephen Nicholas,atl
LB,0,0%,770,73.97%,157,34.43%,BartJo01,Joplo Bartu,atl
CB,0,0%,575,55.24%,241,52.85%,McClRo98,Robert McClain,atl
CB,0,0%,1000,96.06%,6,1.32%,TrufDe00,Desmond Trufant,atl
CB,0,0%,569,54.66%,215,47.15%,AlfoRo00,Robert Alford,atl
CB,0,0%,498,47.84%,0,0%,SamuAs20,Asante Samuel,atl
CB,0,0%,12,1.15%,76,16.67%,FranDo99,Dominique Franks,atl
SS,0,0%,1041,100.00%,88,19.30%,MoorWi99,William Moore,atl
SS,0,0%,153,14.70%,158,34.65%,MottZe00,Zeke Motta,atl
FS,0,0%,889,85.40%,191,41.89%,DeCoTh99,Thomas DeCoud,atl
