pos,offense,off_pct,defense,def_pct,special_teams,st_pct,player_id,player_name,team
QB,135,14.33%,0,0%,0,0%,BradSa00,Sam Bradford,crd
QB,26,2.76%,0,0%,0,0%,GlenMi00,Mike Glennon,crd
QB,781,82.91%,0,0%,0,0%,RoseJo01,Josh Rosen,crd
RB,749,79.51%,0,0%,0,0%,JohnDa08,David Johnson,crd
RB,198,21.02%,0,0%,167,38.39%,EdmoCh00,Chase Edmonds,crd
RB,21,2.23%,0,0%,53,12.18%,LogaT.00,T.J. Logan,crd
FB,74,7.86%,0,0%,316,72.64%,ColeDe00,Derrick Coleman,crd
WR,872,92.57%,0,0%,1,.23%,FitzLa00,Larry Fitzgerald,crd
WR,430,45.65%,0,0%,0,0%,WillCh05,Chad Williams,crd
WR,542,57.54%,0,0%,58,13.33%,KirkCh01,Christian Kirk,crd
WR,77,8.17%,0,0%,30,6.90%,TollJa00,Jalen Tolliver,crd
WR,5,.53%,0,0%,0,0%,DuprMa01,Malachi Dupre,crd
WR,343,36.41%,0,0%,80,18.39%,SherTr00,Trent Sherfield,crd
WR,0,0%,0,0%,13,2.99%,CoopPh00,Pharoh Cooper,crd
WR,213,22.61%,0,0%,1,.23%,NelsJJ00,JJ Nelson,crd
TE,536,56.90%,0,0%,13,2.99%,SealRi00,Ricky Seals-Jones,crd
TE,18,1.91%,0,0%,33,7.59%,DaniDa02,Darrell Daniels,crd
TE,130,13.80%,0,0%,69,15.86%,PhilJo00,John Phillips,crd
TE,417,44.27%,0,0%,23,5.29%,GresJe00,Jermaine Gresham,crd
TE,81,8.60%,0,0%,68,15.63%,HolmGa00,Gabe Holmes,crd
T,244,25.90%,0,0%,10,2.30%,BarkJo00,Joe Barksdale,crd
T,349,37.05%,0,0%,17,3.91%,CunnKo00,Korey Cunningham,crd
T,522,55.41%,0,0%,20,4.60%,HumpD.00,D.J. Humphries,crd
T,426,45.22%,0,0%,14,3.22%,SmitAn23,Andre Smith,crd
T,339,35.99%,0,0%,18,4.14%,WetzJo00,John Wetzel,crd
T,2,.21%,0,0%,5,1.15%,ClauBl01,Blaine Clausell,crd
T,0,0%,0,0%,1,.23%,OdhiRe00,Rees Odhiambo,crd
G,147,15.61%,0,0%,4,.92%,HoldWi00,Will Holden,crd
G,343,36.41%,0,0%,14,3.22%,PughJu00,Justin Pugh,crd
G,477,50.64%,0,0%,16,3.68%,IupaMi20,Mike Iupati,crd
G,407,43.21%,0,0%,21,4.83%,AbouOd00,Oday Aboushi,crd
G,282,29.94%,0,0%,11,2.53%,GossCo00,Colby Gossett,crd
G,147,15.61%,0,0%,12,2.76%,VujnJe00,Jeremy Vujnovich,crd
G,1,.11%,0,0%,4,.92%,GoldZa00,Zack Golditch,crd
C,942,100.00%,0,0%,9,2.07%,ColeMa02,Mason Cole,crd
C,86,9.13%,6,.54%,41,9.43%,MunyDa00,Daniel Munyer,crd
DE,0,0%,968,86.82%,76,17.47%,JoneCh03,Chandler Jones,crd
DE,0,0%,550,49.33%,0,0%,MayoBe00,Benson Mayowa,crd
DE,0,0%,29,2.60%,23,5.29%,SmitJa01,Jacquies Smith,crd
DE,0,0%,245,21.97%,126,28.97%,MoorZa00,Zach Moore,crd
DE,0,0%,42,3.77%,39,8.97%,MalvCa00,Cameron Malveaux,crd
DE,0,0%,393,35.25%,2,.46%,GoldMa00,Markus Golden,crd
DE,0,0%,7,.63%,0,0%,OdenIf00,Ifeadi Odenigbo,crd
DT,0,0%,734,65.83%,101,23.22%,PeteCo00,Corey Peters,crd
DT,0,0%,426,38.21%,18,4.14%,NkemRo00,Robert Nkemdiche,crd
DT,0,0%,641,57.49%,32,7.36%,GuntRo00,Rodney Gunter,crd
DT,0,0%,16,1.43%,1,.23%,TasiPa00,Pasoni Tasini,crd
DT,0,0%,43,3.86%,0,0%,ValeVi00,Vincent Valentine,crd
DT,0,0%,30,2.69%,1,.23%,SmitGa01,Garrison Smith,crd
DT,0,0%,245,21.97%,37,8.51%,PierOl00,Olsen Pierre,crd
LB,0,0%,725,65.02%,60,13.79%,ByneJo00,Josh Bynes,crd
LB,0,0%,389,34.89%,169,38.85%,BucaDe00,Deone Bucannon,crd
LB,0,0%,846,75.87%,121,27.82%,ReddHa00,Haason Reddick,crd
LB,0,0%,0,0%,353,81.15%,WalkJo01,Joe Walker,crd
LB,0,0%,0,0%,385,88.51%,GardDe01,Dennis Gardeck,crd
LB,0,0%,356,31.93%,265,60.92%,HodgGe00,Gerald Hodges,crd
LB,0,0%,18,1.61%,347,79.77%,TurnZe00,Zeke Turner,crd
LB,0,0%,0,0%,5,1.15%,ArmbTh00,Thurston Armbrister,crd
LB,0,0%,67,6.01%,10,2.30%,DoraVo00,Vontarrius Dora,crd
CB,0,0%,1106,99.19%,108,24.83%,PetePa00,Patrick Peterson,crd
CB,0,0%,296,26.55%,38,8.74%,TaylJa01,Jamar Taylor,crd
CB,0,0%,293,26.28%,14,3.22%,AmerDa00,David Amerson,crd
CB,0,0%,88,7.89%,54,12.41%,JohnLe03,Leonard Johnson,crd
CB,0,0%,560,50.22%,124,28.51%,BenwBe00,Bene Benwikere,crd
CB,0,0%,85,7.62%,309,71.03%,WillBr07,Brandon Williams,crd
CB,0,0%,0,0%,11,2.53%,NichDe00,Deatrick Nichols,crd
CB,0,0%,0,0%,15,3.45%,JoneCh06,Chris Jones,crd
SS,0,0%,938,84.13%,72,16.55%,BakeBu00,Budda Baker,crd
SS,0,0%,62,5.56%,286,65.75%,FordRu00,Rudy Ford,crd
SS,0,0%,0,0%,16,3.68%,PleaEd00,Eddie Pleasant,crd
FS,0,0%,950,85.20%,38,8.74%,BostTr00,Tre Boston,crd
FS,0,0%,1111,99.64%,11,2.53%,BethAn20,Antoine Bethea,crd
LS,0,0%,0,0%,136,31.26%,BrewAa00,Aaron Brewer,crd
K,0,0%,0,0%,34,7.82%,GonzZa00,Zane Gonzalez,crd
K,0,0%,0,0%,7,1.61%,McCrMa00,Matthew McCrane,crd
K,0,0%,0,0%,55,12.64%,dawsophi01,Phil Dawson,crd
P,0,0%,0,0%,137,31.49%,LeexAn20,Andy Lee,crd
QB,1048,98.87%,0,0%,0,0%,RyanMa00,Matt Ryan,atl
QB,12,1.13%,0,0%,0,0%,SchaMa00,Matt Schaub,atl
RB,67,6.32%,0,0%,0,0%,FreeDe00,Devonta Freeman,atl
RB,580,54.72%,0,0%,0,0%,ColeTe01,Tevin Coleman,atl
RB,16,1.51%,0,0%,13,2.95%,LangJe00,Jeremy Langford,atl
RB,311,29.34%,0,0%,26,5.91%,SmitIt00,Ito Smith,atl
RB,66,6.23%,0,0%,87,19.77%,HillBr02,Brian Hill,atl
FB,139,13.11%,0,0%,89,20.23%,OrtiRi00,Ricky Ortiz,atl
WR,818,77.17%,5,.46%,3,.68%,JoneJu02,Julio Jones,atl
WR,830,78.30%,0,0%,3,.68%,SanuMo00,Mohamed Sanu,atl
WR,644,60.75%,0,0%,9,2.05%,RidlCa00,Calvin Ridley,atl
WR,0,0%,5,.46%,18,4.09%,BurtDe00,Deante Burton,atl
WR,185,17.45%,0,0%,203,46.14%,HallMa02,Marvin Hall,atl
WR,221,20.85%,0,0%,157,35.68%,HardJu00,Justin Hardy,atl
WR,60,5.66%,0,0%,280,63.64%,GageRu00,Russell Gage,atl
TE,809,76.32%,0,0%,67,15.23%,HoopAu00,Austin Hooper,atl
TE,178,16.79%,0,0%,292,66.36%,SaubEr00,Eric Saubert,atl
TE,362,34.15%,0,0%,191,43.41%,PaulLo00,Logan Paulsen,atl
T,1057,99.72%,0,0%,71,16.14%,MattJa00,Jake Matthews,atl
T,865,81.60%,0,0%,71,16.14%,SchrRy00,Ryan Schraeder,atl
T,266,25.09%,0,0%,71,16.14%,SambTy00,Ty Sambrailo,atl
G,436,41.13%,0,0%,29,6.59%,FuscBr00,Brandon Fusco,atl
G,82,7.74%,0,0%,4,.91%,LeviAn20,Andy Levitre,atl
G,279,26.32%,0,0%,38,8.64%,BeadZa20,Zane Beadles,atl
G,371,35.00%,2,.18%,69,15.68%,GarlBe00,Ben Garland,atl
