pos,offense,off_pct,defense,def_pct,special_teams,st_pct,player_id,player_name,team
CB,0,0.00%,103,66.03%,8,16.00%,BurkDe01,Denzel Burke,crd
CB,0,0.00%,10,6.41%,13,26.00%,KingKa00,Kalen King,crd
CB,0,0.00%,19,12.18%,13,26.00%,ClarKe02,Kei'Trel Clark,crd
CB,0,0.00%,45,28.85%,14,28.00%,MeltMa00,Max Melton,crd
CB,0,0.00%,111,71.15%,3,6.00%,JohnWi02,Will Johnson,crd
DL,0,0.00%,49,31.41%,7,14.00%,RobiDa01,Darius Robinson,crd
DL,0,0.00%,49,31.41%,7,14.00%,CollLJ00,L.J. Collier,crd
DL,0,0.00%,76,48.72%,0,0.00%,LopeRo00,Roy Lopez,crd
DL,0,0.00%,76,48.72%,0,0.00%,NoleWa00,Walter Nolen,crd
DT,0,0.00%,73,46.79%,7,14.00%,StilDa01,Dante Stills,crd
K,0,0.00%,0,0.00%,16,32.00%,RylaCh00,Chad Ryland,crd
LB,0,0.00%,61,39.10%,5,10.00%,BrowBa01,Baron Browning,crd
LB,0,0.00%,5,3.21%,39,78.00%,SimoCo01,Cody Simon,crd
LB,0,0.00%,19,12.18%,22,44.00%,LeotEk00,Eku Leota,crd
LB,0,0.00%,123,78.85%,23,46.00%,GibbJa00,Jack Gibbens,crd
LB,0,0.00%,55,35.26%,29,58.00%,BurcJo00,Jordan Burch,crd
LB,0,0.00%,63,40.38%,0,0.00%,SweaJo00,Josh Sweat,crd
LB,0,0.00%,0,0.00%,39,78.00%,SharKa00,Karson Sharar,crd
LB,0,0.00%,120,76.92%,0,0.00%,WilsMa03,Mack Wilson,crd
LB,0,0.00%,55,35.26%,16,32.00%,CollZa00,Zaven Collins,crd
LS,0,0.00%,0,0.00%,18,36.00%,KreiCa00,Casey Kreiter,crd
OL,125,96.15%,0,0.00%,8,16.00%,WilkEl00,Elijah Wilkinson,crd
OL,3,2.31%,0,0.00%,8,16.00%,ConnHa00,Hayden Conner,crd
OL,125,96.15%,0,0.00%,0,0.00%,FrohHj00,Hjalte Froholdt,crd
OL,122,93.85%,0,0.00%,8,16.00%,SeumIs00,Isaac Seumalo,crd
OL,50,38.46%,0,0.00%,1,2.00%,AdamIs01,Isaiah Adams,crd
OL,8,6.15%,0,0.00%,8,16.00%,WillJa16,Jayden Williams,crd
OL,75,57.69%,0,0.00%,8,16.00%,GainJo00,Jon Gaines,crd
OL,0,0.00%,0,0.00%,7,14.00%,FryaJo00,Josh Fryar,crd
OL,125,96.15%,0,0.00%,8,16.00%,JohnPa03,Paris Johnson,crd
P,0,0.00%,0,0.00%,18,36.00%,GillBl00,Blake Gillikin,crd
QB,125,96.15%,0,0.00%,0,0.00%,BrisJa00,Jacoby Brissett,crd
RB,52,40.00%,0,0.00%,0,0.00%,LoveJe00,Jeremiyah Love,crd
RB,76,58.46%,0,0.00%,0,0.00%,AllgTy00,Tyler Allgeier,crd
RB,6,4.62%,0,0.00%,9,18.00%,KnigZo00,Zonovan Knight,crd
S,0,0.00%,125,80.13%,10,20.00%,WingAn01,Andrew Wingard,crd
S,0,0.00%,125,80.13%,1,2.00%,BakeBu00,Budda Baker,crd
S,0,0.00%,2,1.28%,15,30.00%,TaylDa02,Dadrion Taylor-Demerson,crd
S,0,0.00%,7,4.49%,14,28.00%,CrawKi00,Kitan Crawford,crd
S,0,0.00%,4,2.56%,9,18.00%,WillWy00,Wydett Williams,crd
TE,33,25.38%,0,0.00%,21,42.00%,HiggEl00,Elijah Higgins,crd
TE,41,31.54%,0,0.00%,27,54.00%,LongHu00,Hunter Long,crd
TE,104,80.00%,0,0.00%,0,0.00%,McBrTr01,Trey McBride,crd
WR,0,0.00%,0,0.00%,14,28.00%,DuveDe00,Devin Duvernay,crd
WR,6,4.62%,0,0.00%,11,22.00%,BrooJa03,Jalen Brooks,crd
WR,80,61.54%,0,0.00%,0,0.00%,BourKe00,Kendrick Bourne,crd
WR,96,73.85%,0,0.00%,0,0.00%,HarrMa09,Marvin Harrison Jr.,crd
WR,111,85.38%,1,0.64%,0,0.00%,WilsMi02,Michael Wilson,crd
WR,12,9.23%,0,0.00%,32,64.00%,FehoSi00,Simi Fehoko,crd
C,0,0.00%,0,0.00%,7,12.07%,LeviCo00,Corey Levin,atl
CB,0,0.00%,68,49.28%,0,0.00%,TerrAJ00,AJ Terrell,atl
CB,0,0.00%,49,35.51%,4,6.90%,TerrAv00,Avieon Terrell,atl
CB,0,0.00%,65,47.10%,17,29.31%,HendCJ00,C.J. Henderson,atl
CB,0,0.00%,0,0.00%,40,68.97%,FordMi01,Mike Ford,atl
CB,0,0.00%,133,96.38%,0,0.00%,HughMi00,Mike Hughes,atl
DB,0,0.00%,47,34.06%,34,58.62%,BrowSy00,Sydney Brown,atl
DE,0,0.00%,14,10.14%,4,6.90%,TricBr00,Bralen Trice,atl
DE,0,0.00%,73,52.90%,0,0.00%,ThomCa03,Cameron Thomas,atl
DE,0,0.00%,57,41.30%,0,0.00%,EbukSa00,Samson Ebukam,atl
DE,0,0.00%,44,31.88%,0,0.00%,SmitZa00,Za'Darius Smith,atl
DL,0,0.00%,66,47.83%,6,10.34%,DorlBr00,Brandon Dorlus,atl
DL,0,0.00%,60,43.48%,13,22.41%,LondLa00,LaCale London,atl
DL,0,0.00%,75,54.35%,13,22.41%,SmitMa07,Maason Smith,atl
DL,0,0.00%,25,18.12%,6,10.34%,HarrZa00,Zach Harrison,atl
DT,0,0.00%,7,5.07%,0,0.00%,HandDa00,Da'Shawn Hand,atl
DT,0,0.00%,76,55.07%,13,22.41%,DextGe00,Gervon Dexter,atl
G,110,79.71%,0,0.00%,4,6.90%,LindCh00,Chris Lindstrom,atl
K,0,0.00%,0,0.00%,12,20.69%,FolkNi20,Nick Folk,atl
LB,0,0.00%,4,2.90%,13,22.41%,HarrCh06,Christian Harris,atl
LB,0,0.00%,121,87.68%,18,31.03%,DeabDi00,Divine Deablo,atl
LB,0,0.00%,49,35.51%,30,51.72%,PerkHa01,Harold Perkins,atl
LB,0,0.00%,42,30.43%,0,0.00%,IveyJa00,Jared Ivey,atl
LB,0,0.00%,7,5.07%,47,81.03%,WoodJo02,Josh Woods,atl
LB,0,0.00%,86,62.32%,24,41.38%,DaniKe00,Kendal Daniels,atl
LB,0,0.00%,32,23.19%,34,58.62%,AbduYa00,Yasir Abdullah,atl
LS,0,0.00%,0,0.00%,16,27.59%,McCuLi00,Liam McCullough,atl
OL,19,13.77%,0,0.00%,7,12.07%,HintKy00,Kyle Hinton,atl
OL,129,93.48%,0,0.00%,7,12.07%,BergMa00,Matthew Bergeron,atl
OL,28,20.29%,0,0.00%,6,10.34%,JerrMi00,Michael Jerrell,atl
OL,129,93.48%,0,0.00%,3,5.17%,NeuzRy00,Ryan Neuzil,atl
P,0,0.00%,0,0.00%,17,29.31%,BailJa00,Jake Bailey,atl
QB,100,72.46%,0,0.00%,0,0.00%,RushCo00,Cooper Rush,atl
QB,29,21.01%,0,0.00%,0,0.00%,StraJa00,Jack Strand,atl
RB,81,58.70%,0,0.00%,0,0.00%,RobiBi01,Bijan Robinson,atl
RB,48,34.78%,0,0.00%,3,5.17%,RobiBr01,Brian Robinson Jr.,atl
S,0,0.00%,4,2.90%,47,81.03%,HellDe00,DeMarcco Hellams,atl
S,0,0.00%,129,93.48%,0,0.00%,BateJe00,Jessie Bates III,atl
S,0,0.00%,130,94.20%,6,10.34%,WattXa00,Xavier Watts,atl
T,129,93.48%,0,0.00%,7,12.07%,MattJa00,Jake Matthews,atl
T,103,74.64%,0,0.00%,1,1.72%,TaylJa02,Jawaan Taylor,atl
TE,44,31.88%,0,0.00%,12,20.69%,HoopAu00,Austin Hooper,atl
TE,71,51.45%,0,0.00%,28,48.28%,WoerCh00,Charlie Woerner,atl
TE,64,46.38%,0,0.00%,0,0.00%,PittKy00,Kyle Pitts,atl
TE,19,13.77%,0,0.00%,41,70.69%,MuseNi00,Nick Muse,atl
