pos,offense,off_pct,defense,def_pct,special_teams,st_pct,player_id,player_name,team
QB,1065,97.17%,0,0%,0,0%,MurrKy00,Kyler Murray,crd
QB,31,2.83%,0,0%,0,0%,TuneCl00,Clayton Tune,crd
RB,619,56.48%,0,0%,0,0%,ConnJa00,James Conner,crd
RB,132,12.04%,0,0%,0,0%,CartMi03,Michael Carter,crd
RB,164,14.96%,0,0%,52,11.90%,DemeEm00,Emari Demercado,crd
RB,54,4.93%,0,0%,275,62.93%,DallDe00,DeeJay Dallas,crd
RB,5,.46%,0,0%,10,2.29%,JoneTo04,Tony Jones,crd
RB,137,12.50%,0,0%,0,0%,BensTr01,Trey Benson,crd
WR,865,78.92%,0,0%,0,0%,HarrMa09,Marvin Harrison Jr.,crd
WR,822,75.00%,0,0%,2,.46%,WilsMi02,Michael Wilson,crd
WR,57,5.20%,0,0%,0,0%,WeavXa00,Xavier Weaver,crd
WR,432,39.42%,0,0%,112,25.63%,DortGr01,Greg Dortch,crd
WR,68,6.20%,0,0%,278,63.62%,PascZa00,Zach Pascal,crd
WR,257,23.45%,0,0%,0,0%,JoneZa00,Zay Jones,crd
WR,27,2.46%,0,0%,0,0%,MoorCh00,Chris Moore,crd
TE,934,85.22%,0,0%,15,3.43%,McBrTr01,Trey McBride,crd
TE,411,37.50%,0,0%,176,40.27%,HiggEl00,Elijah Higgins,crd
TE,450,41.06%,0,0%,189,43.25%,ReimTi00,Tip Reiman,crd
TE,12,1.09%,0,0%,2,.46%,VokoTr00,Travis Vokolek,crd
T,865,78.92%,0,0%,61,13.96%,JohnPa03,Paris Johnson,crd
T,742,67.70%,0,0%,47,10.76%,BeacKe00,Kelvin Beachum,crd
T,343,31.30%,0,0%,1,.23%,WillJo10,Jonah Williams,crd
T,157,14.32%,0,0%,17,3.89%,BartJa00,Jackson Barton,crd
T,30,2.74%,0,0%,25,5.72%,HeckCh00,Charlie Heck,crd
T,74,6.75%,0,0%,8,1.83%,JoneCh12,Christian Jones,crd
G,280,25.55%,0,0%,10,2.29%,HernWi00,Will Hernandez,crd
G,5,.46%,0,0%,1,.23%,LeveNi00,Nick Leverett,crd
G,462,42.15%,0,0%,66,15.10%,AdamIs01,Isaiah Adams,crd
G,22,2.01%,0,0%,58,13.27%,GainJo00,Jon Gaines,crd
C,1078,98.36%,0,0%,76,17.39%,FrohHj00,Hjalte Froholdt,crd
C,1070,97.63%,0,0%,76,17.39%,BrowEv00,Evan Brown,crd
C,386,35.22%,0,0%,77,17.62%,ColoTr01,Trystan Colon,crd
DT,0,0%,100,9.20%,7,1.60%,JoneJu03,Justin Jones,crd
DT,0,0%,174,16.01%,19,4.35%,NichBi00,Bilal Nichols,crd
DT,0,0%,534,49.13%,77,17.62%,StilDa01,Dante Stills,crd
DT,0,0%,106,9.75%,8,1.83%,StilBe00,Ben Stille,crd
DT,0,0%,260,23.92%,55,12.59%,JoneNa01,Naquan Jones,crd
DT,0,0%,24,2.21%,0,0%,BlacAn00,Angelo Blackson,crd
DT,0,0%,183,16.84%,0,0%,RobiDa01,Darius Robinson,crd
DT,0,0%,590,54.28%,6,1.37%,CollLJ00,L.J. Collier,crd
NT,0,0%,467,42.96%,70,16.02%,LopeRo00,Roy Lopez,crd
NT,0,0%,229,21.07%,10,2.29%,TongKh00,Khyiris Tonga,crd
LB,0,0%,1018,93.65%,6,1.37%,WhitKy00,Kyzir White,crd
LB,0,0%,207,19.04%,69,15.79%,GardDe01,Dennis Gardeck,crd
LB,0,0%,602,55.38%,9,2.06%,CollZa00,Zaven Collins,crd
LB,0,0%,763,70.19%,18,4.12%,WilsMa03,Mack Wilson,crd
LB,0,0%,188,17.30%,169,38.67%,LukeJe00,Jesse Luketa,crd
LB,0,0%,131,12.05%,332,75.97%,PappOw00,Owen Pappoe,crd
LB,0,0%,205,18.86%,304,69.57%,BarnKr00,Krys Barnes,crd
LB,0,0%,158,14.54%,207,47.37%,DimuVi00,Victor Dimukeje,crd
LB,0,0%,208,19.14%,23,5.26%,ThomXa01,Xavier Thomas,crd
LB,0,0%,233,21.44%,5,1.14%,BrowBa01,Baron Browning,crd
LB,0,0%,286,26.31%,115,26.32%,OkwaJu00,Julian Okwara,crd
LB,0,0%,0,0%,16,3.66%,BailMa01,Markus Bailey,crd
LB,0,0%,0,0%,23,5.26%,EiflMi00,Milo Eifler,crd
CB,0,0%,728,66.97%,56,12.81%,BuntSe00,Sean Murphy-Bunting,crd
CB,0,0%,820,75.44%,75,17.16%,ThomSt01,Starling Thomas,crd
CB,0,0%,781,71.85%,43,9.84%,WillGa00,Garrett Williams,crd
CB,0,0%,565,51.98%,212,48.51%,MeltMa00,Max Melton,crd
CB,0,0%,97,8.92%,109,24.94%,ClarKe02,Kei'Trel Clark,crd
CB,0,0%,0,0%,12,2.75%,WilsDi00,Divaad Wilson,crd
SS,0,0%,1067,98.16%,43,9.84%,BakeBu00,Budda Baker,crd
SS,0,0%,3,.28%,47,10.76%,ChacAn00,Andre Chachere,crd
FS,0,0%,944,86.84%,1,.23%,ThomJa04,Jalen Thompson,crd
