pos,offense,off_pct,defense,def_pct,special_teams,st_pct,player_id,player_name,team
T,1050,99.06%,0,0%,83,18.91%,ClabTy20,Tyson Clabo,atl
T,7,.66%,0,0%,0,0%,HolmLa00,Lamar Holmes,atl
G,1060,100.00%,0,0%,83,18.91%,BlalJu20,Justin Blalock,atl
G,394,37.17%,0,0%,39,8.88%,ReynGa20,Garrett Reynolds,atl
G,675,63.68%,0,0%,107,24.37%,KonzPe00,Peter Konz,atl
G,106,10.00%,0,0%,145,33.03%,JohnMi23,Mike Johnson,atl
C,1046,98.68%,0,0%,0,0%,McClTo20,Todd McClure,atl
C,20,1.89%,0,0%,17,3.87%,HawlJo20,Joe Hawley,atl
DE,0,0%,682,66.73%,301,68.56%,BierKr99,Kroy Biermann,atl
DE,0,0%,732,71.62%,0,0%,AbraJo00,John Abraham,atl
DE,0,0%,207,20.25%,32,7.29%,EdwaRa21,Ray Edwards,atl
DE,0,0%,80,7.83%,105,23.92%,MattCl01,Cliff Matthews,atl
DE,0,0%,30,2.94%,51,11.62%,SidbLa99,Lawrence Sidbury,atl
DE,0,0%,27,2.64%,67,15.26%,MassJo00,Jonathan Massaquoi,atl
DT,0,0%,496,48.53%,48,10.93%,JerrPe99,Peria Jerry,atl
DT,0,0%,839,82.09%,55,12.53%,BabiJo20,Jonathan Babineaux,atl
DT,0,0%,532,52.05%,99,22.55%,WalkVa99,Vance Walker,atl
DT,0,0%,434,42.47%,24,5.47%,PeteCo00,Corey Peters,atl
DT,0,0%,47,4.60%,0,0%,RobeTr00,Travian Robertson,atl
LB,0,0%,873,85.42%,124,28.25%,NichSt99,Stephen Nicholas,atl
LB,0,0%,829,81.12%,48,10.93%,WeatSe99,Sean Weatherspoon,atl
LB,0,0%,498,48.73%,127,28.93%,DentAk00,Akeem Dent,atl
LB,0,0%,7,.68%,231,52.62%,JameRo99,Robert James,atl
LB,0,0%,116,11.35%,145,33.03%,PeteMi20,Mike Peterson,atl
CB,0,0%,812,79.45%,0,0%,SamuAs20,Asante Samuel,atl
CB,0,0%,931,91.10%,6,1.37%,RobiDu20,Dunta Robinson,atl
CB,0,0%,52,5.09%,4,.91%,GrimBr20,Brent Grimes,atl
CB,0,0%,170,16.63%,223,50.80%,OwenCh99,Chris Owens,atl
CB,0,0%,604,59.10%,240,54.67%,McClRo98,Robert McClain,atl
CB,0,0%,0,0%,17,3.87%,JohnTe01,Terrence Johnson,atl
CB,0,0%,203,19.86%,80,18.22%,FranDo99,Dominique Franks,atl
SS,0,0%,758,74.17%,47,10.71%,MoorWi99,William Moore,atl
SS,0,0%,259,25.34%,192,43.74%,HopeCh21,Chris Hope,atl
FS,0,0%,1021,99.90%,137,31.21%,DeCoTh99,Thomas DeCoud,atl
FS,0,0%,2,.20%,102,23.23%,MitcCh01,Charles Mitchell,atl
LS,0,0%,0,0%,145,33.03%,HarrJo02,Josh Harris,atl
K,0,0%,0,0%,83,18.91%,bryanmat01,Matt Bryant,atl
P,0,0%,0,0%,239,54.44%,BoshMa00,Matthew Bosher,atl
QB,1002,91.84%,0,0%,0,0%,FlacJo00,Joe Flacco,rav
QB,92,8.43%,0,0%,0,0%,TaylTy00,Tyrod Taylor,rav
RB,811,74.34%,0,0%,0,0%,RiceRa00,Ray Rice,rav
RB,53,4.86%,0,0%,343,69.01%,AlleAn01,Anthony Allen,rav
RB,218,19.98%,0,0%,20,4.02%,PierBe00,Bernard Pierce,rav
FB,456,41.80%,0,0%,70,14.08%,LeacVo00,Vonta Leach,rav
WR,919,84.23%,0,0%,0,0%,SmitTo02,Torrey Smith,rav
WR,877,80.38%,0,0%,1,.20%,BoldAn00,Anquan Boldin,rav
WR,426,39.05%,0,0%,132,26.56%,JoneJa03,Jacoby Jones,rav
WR,85,7.79%,0,0%,82,16.50%,ReedDa00,David Reed,rav
WR,85,7.79%,0,0%,60,12.07%,ThomDe04,Deonte Thompson,rav
WR,183,16.77%,0,0%,29,5.84%,DossTa00,Tandon Doss,rav
WR,9,.82%,0,0%,161,32.39%,WillLa01,LaQuan Williams,rav
TE,639,58.57%,0,0%,94,18.91%,PittDe00,Dennis Pitta,rav
TE,538,49.31%,0,0%,166,33.40%,DickEd00,Ed Dickson,rav
TE,127,11.64%,0,0%,84,16.90%,BajeBi00,Billy Bajema,rav
T,341,31.26%,0,0%,30,6.04%,HareRa00,Ramon Harewood,rav
T,1017,93.22%,0,0%,74,14.89%,OsemKe00,Kelechi Osemele,rav
T,1058,96.98%,0,0%,76,15.29%,OherMi20,Michael Oher,rav
T,128,11.73%,0,0%,78,15.69%,McKiBr21,Bryant McKinnie,rav
T,568,52.06%,0,0%,43,8.65%,ReidJa00,Jah Reid,rav
G,912,83.59%,0,0%,69,13.88%,YandMa20,Marshal Yanda,rav
G,355,32.54%,0,0%,44,8.85%,WillBo21,Bobbie Williams,rav
G,85,7.79%,0,0%,108,21.73%,GradGi00,Gino Gradkowski,rav
C,1017,93.22%,0,0%,2,.40%,BirkMa00,Matt Birk,rav
DE,0,0%,426,37.34%,284,57.14%,McClAl00,Albert McClellan,rav
DE,0,0%,423,37.07%,26,5.23%,McPhPe00,Pernell McPhee,rav
DE,0,0%,746,65.38%,129,25.96%,UpshCo00,Courtney Upshaw,rav
DE,0,0%,184,16.13%,39,7.85%,TysoDe00,DeAngelo Tyson,rav
DT,0,0%,819,71.78%,44,8.85%,NgatHa20,Haloti Ngata,rav
DT,0,0%,71,6.22%,37,7.44%,HallBr00,Bryan Hall,rav
DT,0,0%,528,46.28%,67,13.48%,JoneAr22,Arthur Jones,rav
NT,0,0%,431,37.77%,37,7.44%,KemoMa20,Ma'ake Kemoeatu,rav
NT,0,0%,362,31.73%,66,13.28%,CodyTe99,Terrence Cody,rav
LB,0,0%,441,38.65%,2,.40%,LewiRa00,Ray Lewis,rav
LB,0,0%,788,69.06%,5,1.01%,KrugPa99,Paul Kruger,rav
LB,0,0%,651,57.06%,43,8.65%,ElleDa99,Dannell Ellerbe,rav
LB,0,0%,407,35.67%,1,.20%,SuggTe99,Terrell Suggs,rav
LB,0,0%,737,64.59%,86,17.30%,McClJa01,Jameel McClain,rav
LB,0,0%,170,14.90%,393,79.07%,AyanBr99,Brendon Ayanbadejo,rav
LB,0,0%,211,18.49%,184,37.02%,ByneJo00,Josh Bynes,rav
LB,0,0%,12,1.05%,6,1.21%,KindSe99,Sergio Kindle,rav
LB,0,0%,10,.88%,32,6.44%,HamiAd00,Adrian Hamilton,rav
CB,0,0%,376,32.95%,28,5.63%,WebbLa99,Lardarius Webb,rav
CB,0,0%,1079,94.57%,28,5.63%,WillCa99,Cary Williams,rav
CB,0,0%,463,40.58%,91,18.31%,SmitJi03,Jimmy Smith,rav
CB,0,0%,574,50.31%,232,46.68%,GrahCo99,Corey Graham,rav
CB,0,0%,243,21.30%,322,64.79%,BrowCh05,Chykie Brown,rav
CB,0,0%,0,0%,35,7.04%,JackAs00,Asa Jackson,rav
CB,0,0%,78,6.84%,19,3.82%,JohnCh26,Chris Johnson,rav
SS,0,0%,895,78.44%,15,3.02%,PollBe20,Bernard Pollard,rav
SS,0,0%,289,25.33%,356,71.63%,IhedJa00,James Ihedigbo,rav
SS,0,0%,53,4.65%,415,83.50%,ConsSe20,Sean Considine,rav
FS,0,0%,1046,91.67%,5,1.01%,ReedEd00,Ed Reed,rav
FS,0,0%,0,0%,92,18.51%,ThomCh01,Christian Thompson,rav
DB,0,0%,37,3.24%,50,10.06%,BrowOm00,Omar Brown,rav
DB,0,0%,0,0%,32,6.44%,LeviAn00,Anthony Levine,rav
LS,0,0%,0,0%,163,32.80%,CoxxMo00,Morgan Cox,rav
K,0,0%,0,0%,165,33.20%,TuckJu00,Justin Tucker,rav
P,0,0%,0,0%,164,33.00%,KochSa20,Sam Koch,rav
QB,997,98.62%,0,0%,0,0%,FitzRy00,Ryan Fitzpatrick,buf
QB,14,1.38%,0,0%,4,.86%,ThigTy00,Tyler Thigpen,buf
RB,569,56.28%,0,0%,0,0%,SpilC.00,C.J. Spiller,buf
RB,331,32.74%,0,0%,1,.22%,JackFr02,Fred Jackson,buf
RB,124,12.27%,0,0%,43,9.27%,ChoiTa00,Tashard Choice,buf
RB,12,1.19%,0,0%,22,4.74%,WhitJo01,Johnny White,buf
FB,100,9.89%,0,0%,297,64.01%,McInCo00,Corey McIntyre,buf
FB,98,9.69%,0,0%,13,2.80%,DickDo00,Dorin Dickerson,buf
WR,940,92.98%,0,0%,0,0%,JohnSt00,Stevie Johnson,buf
