pos,offense,off_pct,defense,def_pct,special_teams,st_pct,player_id,player_name,team
QB,409,38.69%,0,0%,0,0%,PalmCa00,Carson Palmer,crd
QB,468,44.28%,0,0%,0,0%,StanDr00,Drew Stanton,crd
QB,163,15.42%,0,0%,0,0%,LindRy00,Ryan Lindley,crd
QB,17,1.61%,0,0%,0,0%,ThomLo00,Logan Thomas,crd
RB,528,49.95%,0,0%,0,0%,ElliAn00,Andre Ellington,crd
RB,47,4.45%,0,0%,7,1.57%,DwyeJo00,Jonathan Dwyer,crd
RB,137,12.96%,0,0%,299,67.19%,HughRo00,Robert Hughes,crd
RB,208,19.68%,0,0%,130,29.21%,TaylSt00,Stepfan Taylor,crd
RB,1,.09%,0,0%,7,1.57%,ParmJa00,Jalen Parmele,crd
RB,89,8.42%,0,0%,3,.67%,WillKe05,Kerwynn Williams,crd
RB,94,8.89%,0,0%,43,9.66%,GricMa00,Marion Grice,crd
WR,942,89.12%,0,0%,2,.45%,FloyMi00,Michael Floyd,crd
WR,855,80.89%,0,0%,2,.45%,FitzLa00,Larry Fitzgerald,crd
WR,657,62.16%,0,0%,0,0%,BrowJo02,John Brown,crd
WR,150,14.19%,0,0%,155,34.83%,GinnTe00,Ted Ginn Jr.,crd
WR,205,19.39%,0,0%,283,63.60%,BrowJa03,Jaron Brown,crd
TE,733,69.35%,0,0%,47,10.56%,CarlJo00,John Carlson,crd
TE,319,30.18%,0,0%,160,35.96%,HousRo01,Rob Housler,crd
TE,89,8.42%,0,0%,66,14.83%,NiklTr00,Troy Niklas,crd
TE,225,21.29%,0,0%,55,12.36%,FellDa01,Darren Fells,crd
T,1057,100.00%,0,0%,60,13.48%,MassBo00,Bobby Massie,crd
T,1057,100.00%,0,0%,60,13.48%,VeldJa20,Jared Veldheer,crd
T,0,0%,0,0%,60,13.48%,SoweBr00,Bradley Sowell,crd
G,1038,98.20%,0,0%,42,9.44%,LarsTe20,Ted Larsen,crd
G,889,84.11%,0,0%,45,10.11%,FanaPa20,Paul Fanaika,crd
G,9,.85%,0,0%,52,11.69%,WatfEa00,Earl Watford,crd
G,184,17.41%,0,0%,25,5.62%,CoopJo01,Jonathan Cooper,crd
C,1057,100.00%,0,0%,0,0%,SendLy20,Lyle Sendlein,crd
DE,0,0%,781,73.82%,112,25.17%,CampCa99,Calais Campbell,crd
DE,0,0%,82,7.75%,15,3.37%,MaurJo00,Josh Mauro,crd
DE,0,0%,182,17.20%,27,6.07%,MartKa00,Kareem Martin,crd
DT,0,0%,707,66.82%,66,14.83%,KellTo21,Tommy Kelly,crd
DT,0,0%,204,19.28%,26,5.84%,StinEd00,Ed Stinson,crd
DT,0,0%,477,45.09%,72,16.18%,RuckFr99,Frostee Rucker,crd
NT,0,0%,415,39.22%,63,14.16%,WillDa99,Dan Williams,crd
NT,0,0%,24,2.27%,5,1.12%,Ta'aAl00,Alameda Ta'amu,crd
LB,0,0%,994,93.95%,74,16.63%,FootLa20,Larry Foote,crd
LB,0,0%,469,44.33%,223,50.11%,AchoSa00,Sam Acho,crd
LB,0,0%,334,31.57%,34,7.64%,ShauMa99,Matt Shaughnessy,crd
LB,0,0%,36,3.40%,2,.45%,AbraJo00,John Abraham,crd
LB,0,0%,317,29.96%,20,4.49%,MintKe00,Kevin Minter,crd
LB,0,0%,79,7.47%,56,12.58%,CarsGl01,Glenn Carson,crd
LB,0,0%,78,7.37%,8,1.80%,KeisTh00,Thomas Keiser,crd
LB,0,0%,50,4.73%,337,75.73%,AlexLo99,Lorenzo Alexander,crd
LB,0,0%,698,65.97%,59,13.26%,OkafAl00,Alex Okafor,crd
LB,0,0%,70,6.62%,162,36.40%,BenaMa00,Marcus Benard,crd
LB,0,0%,0,0%,252,56.63%,DemeKe00,Kenny Demens,crd
CB,0,0%,987,93.29%,59,13.26%,CromAn20,Antonio Cromartie,crd
CB,0,0%,969,91.59%,83,18.65%,PetePa00,Patrick Peterson,crd
CB,0,0%,743,70.23%,118,26.52%,PoweJe99,Jerraud Powers,crd
CB,0,0%,96,9.07%,332,74.61%,BethJu00,Justin Bethel,crd
SS,0,0%,680,64.27%,241,54.16%,JeffTo00,Tony Jefferson,crd
SS,0,0%,688,65.03%,112,25.17%,BucaDe00,Deone Bucannon,crd
FS,0,0%,1051,99.34%,243,54.61%,JohnRa98,Rashad Johnson,crd
FS,0,0%,0,0%,16,3.60%,ClemCh97,Chris Clemons,crd
FS,0,0%,426,40.26%,24,5.39%,MathTy00,Tyrann Mathieu,crd
LS,0,0%,0,0%,153,34.38%,LeacMi00,Mike Leach,crd
K,0,0%,0,0%,136,30.56%,CataCh00,Chandler Catanzaro,crd
P,0,0%,0,0%,135,30.34%,ButlDr00,Drew Butler,crd
P,0,0%,0,0%,18,4.04%,ZastDa20,Dave Zastudil,crd
QB,1064,98.43%,0,0%,0,0%,RyanMa00,Matt Ryan,atl
QB,17,1.57%,0,0%,0,0%,YateT.00,T.J. Yates,atl
RB,350,32.38%,0,0%,157,34.73%,RodgJa00,Jacquizz Rodgers,atl
RB,420,38.85%,0,0%,2,.44%,JackSt00,Steven Jackson,atl
RB,93,8.60%,0,0%,170,37.61%,SmitAn01,Antone Smith,atl
RB,0,0%,0,0%,8,1.77%,SmitJe02,Jerome Smith,atl
RB,234,21.65%,0,0%,84,18.58%,FreeDe00,Devonta Freeman,atl
FB,209,19.33%,0,0%,218,48.23%,DiMaPa00,Patrick DiMarco,atl
WR,870,80.48%,0,0%,1,.22%,WhitRo00,Roddy White,atl
WR,868,80.30%,1,.09%,2,.44%,JoneJu02,Julio Jones,atl
WR,557,51.53%,0,0%,1,.22%,DougHa00,Harry Douglas,atl
WR,389,35.99%,0,0%,144,31.86%,HestDe99,Devin Hester,atl
WR,198,18.32%,0,0%,294,65.04%,WeemEr00,Eric Weems,atl
WR,17,1.57%,0,0%,46,10.18%,RobyCo00,Courtney Roby,atl
WR,6,.56%,0,0%,82,18.14%,DaviDr00,Drew Davis,atl
WR,2,.19%,0,0%,0,0%,MartFr00,Freddie Martino,atl
TE,940,86.96%,0,0%,93,20.58%,ToilLe00,Levine Toilolo,atl
TE,147,13.60%,0,0%,82,18.14%,PascBe00,Bear Pascoe,atl
T,585,54.12%,0,0%,90,19.91%,CariGa00,Gabe Carimi,atl
T,226,20.91%,0,0%,20,4.42%,HolmLa00,Lamar Holmes,atl
T,944,87.33%,0,0%,65,14.38%,MattJa00,Jake Matthews,atl
T,646,59.76%,0,0%,74,16.37%,SchrRy00,Ryan Schraeder,atl
T,3,.28%,0,0%,0,0%,ScotJo22,Jonathan Scott,atl
G,945,87.42%,0,0%,61,13.50%,AsamJo20,Jon Asamoah,atl
G,970,89.73%,0,0%,31,6.86%,BlalJu20,Justin Blalock,atl
G,93,8.60%,0,0%,92,20.35%,GunnHa00,Harland Gunn,atl
G,672,62.16%,0,0%,19,4.20%,StonJa02,James Stone,atl
C,243,22.48%,0,0%,1,.22%,HawlJo20,Joe Hawley,atl
