pos,offense,off_pct,defense,def_pct,special_teams,st_pct,player_id,player_name,team
QB,1039,94.20%,0,0%,0,0%,PalmCa00,Carson Palmer,crd
QB,65,5.89%,0,0%,0,0%,StanDr00,Drew Stanton,crd
RB,213,19.31%,0,0%,0,0%,ElliAn00,Andre Ellington,crd
RB,51,4.62%,0,0%,51,10.99%,WillKe05,Kerwynn Williams,crd
RB,366,33.18%,0,0%,0,0%,JohnCh04,Chris Johnson,crd
RB,413,37.44%,0,0%,114,24.57%,JohnDa08,David Johnson,crd
RB,76,6.89%,0,0%,272,58.62%,TaylSt00,Stepfan Taylor,crd
WR,826,74.89%,0,0%,0,0%,BrowJo02,John Brown,crd
WR,984,89.21%,0,0%,4,.86%,FitzLa00,Larry Fitzgerald,crd
WR,272,24.66%,0,0%,240,51.72%,BrowJa03,Jaron Brown,crd
WR,148,13.42%,0,0%,15,3.23%,NelsJJ00,JJ Nelson,crd
WR,21,1.90%,0,0%,265,57.11%,GoldBr00,Brittan Golden,crd
WR,653,59.20%,0,0%,3,.65%,FloyMi00,Michael Floyd,crd
TE,672,60.92%,0,0%,92,19.83%,FellDa01,Darren Fells,crd
TE,596,54.03%,0,0%,0,0%,GresJe00,Jermaine Gresham,crd
TE,179,16.23%,0,0%,190,40.95%,NiklTr00,Troy Niklas,crd
T,979,88.76%,0,0%,78,16.81%,MassBo00,Bobby Massie,crd
"G,T",199,18.04%,0,0%,32,6.90%,WatfEa00,Earl Watford,crd
T,1071,97.10%,0,0%,89,19.18%,VeldJa20,Jared Veldheer,crd
T,33,2.99%,0,0%,89,19.18%,SoweBr00,Bradley Sowell,crd
G,814,73.80%,0,0%,58,12.50%,IupaMi20,Mike Iupati,crd
G,638,57.84%,0,0%,79,17.03%,CoopJo01,Jonathan Cooper,crd
G,679,61.56%,0,0%,23,4.96%,LarsTe20,Ted Larsen,crd
C,994,90.12%,0,0%,0,0%,SendLy20,Lyle Sendlein,crd
C,151,13.69%,0,0%,1,.22%,ShipA.20,A.Q. Shipley,crd
"DE,DT",0,0%,817,78.11%,150,32.33%,CampCa99,Calais Campbell,crd
