pos,offense,off_pct,defense,def_pct,special_teams,st_pct,player_id,player_name,team
QB,940,80.14%,0,0%,0,0%,MurrKy00,Kyler Murray,crd
QB,209,17.82%,0,0%,2,.45%,McCoCo00,Colt McCoy,crd
QB,24,2.05%,0,0%,0,0%,StreCh00,Chris Streveler,crd
RB,476,40.58%,0,0%,2,.45%,EdmoCh00,Chase Edmonds,crd
RB,598,50.98%,0,0%,6,1.35%,ConnJa00,James Conner,crd
RB,46,3.92%,0,0%,201,45.07%,WardJo00,Jonathan Ward,crd
RB,95,8.10%,0,0%,44,9.87%,BenjEn00,Eno Benjamin,crd
RB,0,0%,0,0%,9,2.02%,FeasTa01,Tavien Feaster,crd
WR,560,47.74%,0,0%,0,0%,HopkDe00,DeAndre Hopkins,crd
WR,888,75.70%,0,0%,2,.45%,GreeA.00,A.J. Green,crd
WR,894,76.21%,0,0%,15,3.36%,KirkCh01,Christian Kirk,crd
WR,432,36.83%,0,0%,94,21.08%,MoorRo02,Rondale Moore,crd
WR,34,2.90%,0,0%,38,8.52%,DortGr01,Greg Dortch,crd
WR,460,39.22%,0,0%,9,2.02%,WeslAn01,Antoine Wesley,crd
WR,30,2.56%,0,0%,24,5.38%,IsabAn00,Andy Isabella,crd
TE,221,18.84%,0,0%,32,7.17%,WillMa04,Maxx Williams,crd
TE,618,52.69%,0,0%,1,.22%,ErtzZa00,Zach Ertz,crd
TE,210,17.90%,0,0%,174,39.01%,HarrDe03,Demetrius Harris,crd
TE,254,21.65%,0,0%,128,28.70%,DaniDa02,Darrell Daniels,crd
TE,18,1.53%,0,0%,8,1.79%,TravRo00,Ross Travis,crd
TE,12,1.02%,0,0%,1,.22%,WellDa00,David Wells,crd
T,1082,92.24%,0,0%,81,18.16%,HumpD.00,D.J. Humphries,crd
T,949,80.90%,0,0%,46,10.31%,BeacKe00,Kelvin Beachum,crd
T,90,7.67%,0,0%,14,3.14%,MurrJu00,Justin Murray,crd
T,20,1.71%,0,0%,40,8.97%,MileJo00,Joshua Miles,crd
T,2,.17%,0,0%,0,0%,SmitEr00,Eric Smith,crd
G,802,68.37%,0,0%,64,14.35%,PughJu00,Justin Pugh,crd
G,853,72.72%,0,0%,87,19.51%,JoneJo07,Josh Jones,crd
G,441,37.60%,0,0%,72,16.14%,HarlSe00,Sean Harlow,crd
G,16,1.36%,0,0%,13,2.91%,WintBr00,Brian Winters,crd
G,2,.17%,0,0%,4,.90%,MartKo00,Koda Martin,crd
G,13,1.11%,0,0%,17,3.81%,IsidDa00,Danny Isidora,crd
C,799,68.12%,0,0%,7,1.57%,HudsRo00,Rodney Hudson,crd
C,809,68.97%,0,0%,58,13.00%,GarcMa00,Max Garcia,crd
C,4,.34%,0,0%,7,1.57%,HenrMa02,Marcus Henry,crd
DE,1,.09%,341,31.34%,24,5.38%,WattJ.00,J.J. Watt,crd
DE,0,0%,284,26.10%,4,.90%,PhilJo01,Jordan Phillips,crd
DE,0,0%,62,5.70%,14,3.14%,MaurJo00,Josh Mauro,crd
DE,0,0%,263,24.17%,24,5.38%,DogbMi00,Michael Dogbe,crd
DE,0,0%,10,.92%,2,.45%,LedbJo01,Jonathan Ledbetter,crd
"DE,DT",0,0%,685,62.96%,63,14.13%,AlleZa01,Zach Allen,crd
DT,0,0%,44,4.04%,19,4.26%,KerrZa00,Zach Kerr,crd
DT,1,.09%,372,34.19%,144,32.29%,FotuLe00,Leki Fotu,crd
DT,0,0%,363,33.36%,35,7.85%,PeteCo00,Corey Peters,crd
NT,0,0%,219,20.13%,26,5.83%,LawrRa01,Rashard Lawrence,crd
LB,0,0%,1005,92.37%,81,18.16%,SimmIs00,Isaiah Simmons,crd
LB,0,0%,1054,96.88%,80,17.94%,HickJo00,Jordan Hicks,crd
LB,0,0%,824,75.74%,31,6.95%,JoneCh03,Chandler Jones,crd
LB,0,0%,682,62.68%,10,2.24%,GoldMa00,Markus Golden,crd
LB,0,0%,22,2.02%,114,25.56%,FittKy00,Kylie Fitts,crd
LB,0,0%,120,11.03%,175,39.24%,VallTa00,Tanner Vallejo,crd
LB,0,0%,220,20.22%,157,35.20%,CollZa00,Zaven Collins,crd
LB,0,0%,173,15.90%,278,62.33%,GardDe01,Dennis Gardeck,crd
LB,0,0%,5,.46%,95,21.30%,TurnZe00,Zeke Turner,crd
LB,0,0%,0,0%,40,8.97%,WhitTa00,Tahir Whitehead,crd
LB,0,0%,45,4.14%,210,47.09%,DimuVi00,Victor Dimukeje,crd
LB,0,0%,56,5.15%,244,54.71%,WalkJo01,Joe Walker,crd
LB,0,0%,265,24.36%,0,0%,KennDe00,Devon Kennard,crd
CB,0,0%,967,88.88%,41,9.19%,MurpBy00,Byron Murphy,crd
CB,0,0%,748,68.75%,47,10.54%,WilsMa04,Marco Wilson,crd
CB,0,0%,580,53.31%,68,15.25%,AlfoRo00,Robert Alford,crd
CB,0,0%,30,2.76%,10,2.24%,WhitJa05,Jace Whittaker,crd
CB,0,0%,18,1.65%,6,1.35%,BordBr00,Breon Borders,crd
CB,0,0%,312,28.68%,208,46.64%,HamiAn01,Antonio Hamilton,crd
CB,0,0%,87,8.00%,21,4.71%,PeteKe01,Kevin Peterson,crd
SS,0,0%,1037,95.31%,34,7.62%,BakeBu00,Budda Baker,crd
SS,0,0%,71,6.53%,241,54.04%,ThomDe06,Deionte Thompson,crd
FS,0,0%,987,90.72%,114,25.56%,ThomJa04,Jalen Thompson,crd
FS,0,0%,3,.28%,122,27.35%,WashCh01,Charles Washington,crd
FS,0,0%,13,1.19%,320,71.75%,BanjCh00,Chris Banjo,crd
FS,0,0%,0,0%,35,7.85%,WiggJa00,James Wiggins,crd
LS,0,0%,0,0%,116,26.01%,BrewAa00,Aaron Brewer,crd
LS,0,0%,0,0%,24,5.38%,BrinBe00,Beau Brinkley,crd
K,0,0%,0,0%,183,41.03%,PratMa20,Matt Prater,crd
P,0,0%,0,0%,136,30.49%,LeexAn20,Andy Lee,crd
P,0,0%,0,0%,5,1.12%,WinsRy00,Ryan Winslow,crd
QB,1023,97.24%,0,0%,0,0%,RyanMa00,Matt Ryan,atl
QB,14,1.33%,0,0%,36,8.49%,FranFe00,Feleipe Franks,atl
QB,26,2.47%,0,0%,0,0%,RoseJo01,Josh Rosen,atl
RB,594,56.46%,0,0%,1,.24%,DaviMi01,Mike Davis,atl
RB,473,44.96%,2,.17%,75,17.69%,PattCo00,Cordarrelle Patterson,atl
RB,46,4.37%,0,0%,36,8.49%,GallWa00,Wayne Gallman,atl
RB,70,6.65%,0,0%,64,15.09%,OlliQa00,Qadree Ollison,atl
WR,299,28.42%,0,0%,0,0%,RidlCa00,Calvin Ridley,atl
WR,612,58.17%,0,0%,1,.24%,GageRu00,Russell Gage,atl
WR,610,57.98%,0,0%,123,29.01%,ZaccOl01,Olamide Zaccheaus,atl
WR,17,1.62%,0,0%,1,.24%,HallMa02,Marvin Hall,atl
WR,510,48.48%,0,0%,1,.24%,SharTa00,Tajae Sharpe,atl
WR,20,1.90%,0,0%,126,29.72%,DarbFr00,Frank Darby,atl
WR,110,10.46%,0,0%,130,30.66%,BlakCh00,Christian Blake,atl
WR,0,0%,0,0%,7,1.65%,TramAu00,Austin Trammell,atl
TE,774,73.57%,0,0%,0,0%,PittKy00,Kyle Pitts,atl
TE,410,38.97%,0,0%,9,2.12%,HursHa00,Hayden Hurst,atl
"FB,TE",257,24.43%,0,0%,284,66.98%,SmitKe03,Keith Smith,atl
TE,311,29.56%,0,0%,60,14.15%,SmitLe00,Lee Smith,atl
TE,123,11.69%,0,0%,58,13.68%,HessPa00,Parker Hesse,atl
T,989,94.01%,0,0%,55,12.97%,McGaKa00,Kaleb McGary,atl
T,1032,98.10%,0,0%,61,14.39%,MattJa00,Jake Matthews,atl
T,90,8.56%,0,0%,54,12.74%,SpriJa00,Jason Spriggs,atl
T,0,0%,0,0%,7,1.65%,LeonRi00,Rick Leonard,atl
G,1037,98.57%,0,0%,61,14.39%,LindCh00,Chris Lindstrom,atl
G,992,94.30%,0,0%,57,13.44%,MayfJa00,Jalen Mayfield,atl
G,0,0%,0,0%,10,2.36%,AndrJo01,Josh Andrews,atl
G,74,7.03%,0,0%,49,11.56%,GossCo00,Colby Gossett,atl
C,991,94.20%,0,0%,0,0%,HennMa00,Matt Hennessy,atl
C,68,6.46%,0,0%,61,14.39%,DalmDr00,Drew Dalman,atl
DE,0,0%,224,19.15%,39,9.20%,BullJo00,Jonathan Bullard,atl
DE,0,0%,310,26.50%,57,13.44%,GrahTa00,Ta'Quon Graham,atl
DE,0,0%,17,1.45%,0,0%,ThurNi00,Nick Thurman,atl
DT,0,0%,865,73.93%,8,1.89%,JarrGr00,Grady Jarrett,atl
DT,0,0%,358,30.60%,1,.24%,DaviTy01,Tyeler Davison,atl
DT,0,0%,251,21.45%,43,10.14%,RushAn00,Anthony Rush,atl
DT,0,0%,270,23.08%,50,11.79%,DaviMa01,Marlon Davidson,atl
DT,0,0%,13,1.11%,48,11.32%,ComiJo00,John Cominsky,atl
NT,0,0%,250,21.37%,22,5.19%,PennMi00,Mike Pennel,atl
LB,0,0%,1071,91.54%,2,.47%,JoneDe01,Deion Jones,atl
LB,0,0%,1149,98.21%,4,.94%,OluoFo00,Foyesade Oluokun,atl
LB,0,0%,692,59.15%,94,22.17%,MeanSt00,Steven Means,atl
LB,0,0%,509,43.50%,2,.47%,FowlDa00,Dante Fowler,atl
LB,0,0%,73,6.24%,78,18.40%,TuioJa00,Jacob Tuioti-Mariner,atl
LB,0,0%,193,16.50%,310,73.11%,WalkMy00,Mykal Walker,atl
LB,0,0%,0,0%,109,25.71%,EtheDo00,Dorian Etheridge,atl
LB,0,0%,527,45.04%,177,41.75%,OgunAd01,Adetokunbo Ogundeji,atl
LB,0,0%,339,28.97%,177,41.75%,CopeBr00,Brandon Copeland,atl
LB,0,0%,8,.68%,94,22.17%,BateDa00,Daren Bates,atl
LB,0,0%,9,.77%,54,12.74%,ElleEm00,Emmanuel Ellerbee,atl
LB,0,0%,211,18.03%,89,20.99%,VaugJa01,James Vaughters,atl
CB,0,0%,1024,87.52%,64,15.09%,TerrAJ00,AJ Terrell,atl
CB,0,0%,1037,88.63%,18,4.25%,MoreFa00,Fabian Moreau,atl
CB,0,0%,161,13.76%,40,9.43%,OlivIs00,Isaiah Oliver,atl
CB,0,0%,121,10.34%,272,64.15%,WillAv02,Avery Williams,atl
CB,0,0%,55,4.70%,24,5.66%,WillCh07,Chris Williamson,atl
CB,0,0%,122,10.43%,42,9.91%,GreeT.00,T.J. Green,atl
CB,0,0%,52,4.44%,62,14.62%,ShefKe00,Kendall Sheffield,atl
CB,0,0%,282,24.10%,104,24.53%,HallDa03,Darren Hall,atl
SS,0,0%,1072,91.62%,66,15.57%,HarmDu00,Duron Harmon,atl
SS,0,0%,275,23.50%,320,75.47%,GranRi00,Richie Grant,atl
SS,0,0%,163,13.93%,88,20.75%,WillSh02,Shawn Williams,atl
FS,0,0%,703,60.09%,69,16.27%,HarrEr00,Erik Harris,atl
FS,0,0%,462,39.49%,219,51.65%,HawkJa00,Jaylinn Hawkins,atl
DB,0,0%,0,0%,5,1.18%,KirkLu00,Luther Kirk,atl
LS,0,0%,0,0%,127,29.95%,HarrJo02,Josh Harris,atl
K,0,0%,0,0%,119,28.07%,KooxYo00,Younghoe Koo,atl
P,0,0%,0,0%,45,10.61%,NiziCa00,Cameron Nizialek,atl
P,0,0%,0,0%,48,11.32%,MorsTh00,Thomas Morstead,atl
P,0,0%,0,0%,47,11.08%,ColqDu20,Dustin Colquitt,atl
QB,810,65.22%,0,0%,0,0%,JackLa00,Lamar Jackson,rav
QB,59,4.75%,0,0%,0,0%,JohnJo05,Josh Johnson,rav
QB,373,30.03%,0,0%,0,0%,HuntTy01,Tyler Huntley,rav
RB,158,12.72%,0,0%,40,8.44%,WillTy01,Ty'Son Williams,rav
RB,9,.72%,0,0%,15,3.16%,CannTr00,Trenton Cannon,rav
RB,378,30.43%,0,0%,0,0%,MurrLa00,Latavius Murray,rav
RB,118,9.50%,0,0%,0,0%,BellLe00,Le'Veon Bell,rav
RB,528,42.51%,0,0%,0,0%,FreeDe00,Devonta Freeman,rav
RB,2,.16%,0,0%,0,0%,McCrNa00,Nate McCrary,rav
FB,555,44.69%,0,0%,61,12.87%,RicaPa00,Patrick Ricard,rav
WR,458,36.88%,0,0%,0,0%,WatkSa00,Sammy Watkins,rav
WR,603,48.55%,0,0%,163,34.39%,DuveDe00,Devin Duvernay,rav
WR,924,74.40%,0,0%,0,0%,BrowMa04,Marquise Brown,rav
WR,604,48.63%,0,0%,0,0%,BateRa00,Rashod Bateman,rav
WR,84,6.76%,0,0%,278,58.65%,WallTy00,Tylan Wallace,rav
WR,35,2.82%,0,0%,144,30.38%,BoykMi00,Miles Boykin,rav
WR,212,17.07%,0,0%,108,22.78%,ProcJa00,James Proche,rav
TE,936,75.36%,0,0%,0,0%,AndrMa00,Mark Andrews,rav
TE,95,7.65%,0,0%,15,3.16%,BoylNi00,Nick Boyle,rav
TE,319,25.68%,0,0%,165,34.81%,TomlEr01,Eric Tomlinson,rav
TE,6,.48%,0,0%,4,.84%,PoljTo00,Tony Poljan,rav
TE,155,12.48%,0,0%,89,18.78%,OlivJo00,Josh Oliver,rav
T,68,5.48%,0,0%,5,1.05%,StanRo00,Ronnie Stanley,rav
T,1207,97.18%,0,0%,61,12.87%,VillAl00,Alejandro Villanueva,rav
T,67,5.39%,0,0%,15,3.16%,SharDa02,David Sharpe,rav
T,0,0%,0,0%,9,1.90%,OgbuCe00,Cedric Ogbuehi,rav
T,35,2.82%,0,0%,22,4.64%,SmitAn23,Andre Smith,rav
T,2,.16%,0,0%,13,2.74%,JoneJa09,Jaryd Jones-Smith,rav
G,1223,98.47%,0,0%,68,14.35%,ZeitKe00,Kevin Zeitler,rav
G,846,68.12%,0,0%,54,11.39%,PoweBe00,Ben Powers,rav
G,367,29.55%,0,0%,45,9.49%,ClevBe00,Ben Cleveland,rav
G,389,31.32%,0,0%,37,7.81%,PhilTy00,Tyre Phillips,rav
G,764,61.51%,0,0%,33,6.96%,MekaPa00,Patrick Mekari,rav
G,0,0%,0,0%,3,.63%,CarpJa00,James Carpenter,rav
C,1127,90.74%,0,0%,43,9.07%,BozeBr00,Bradley Bozeman,rav
C,147,11.84%,0,0%,6,1.27%,ColoTr01,Trystan Colon,rav
"DE,DT",0,0%,293,26.93%,64,13.50%,WashBr01,Broderick Washington Jr.,rav
"DE,DT",0,0%,617,56.71%,123,25.95%,CampCa99,Calais Campbell,rav
DT,0,0%,484,44.49%,66,13.92%,MaduJu00,Nnamdi Madubuike,rav
DT,0,0%,382,35.11%,56,11.81%,ElliJu01,Justin Ellis,rav
