pos,offense,off_pct,defense,def_pct,special_teams,st_pct,player_id,player_name,team
QB,1102,97.35%,0,0%,0,0%,MurrKy00,Kyler Murray,crd
QB,30,2.65%,0,0%,2,.45%,StreCh00,Chris Streveler,crd
RB,615,54.33%,0,0%,0,0%,DrakKe00,Kenyan Drake,crd
RB,525,46.38%,0,0%,64,14.48%,EdmoCh00,Chase Edmonds,crd
RB,25,2.21%,0,0%,115,26.02%,FostD.01,D.J. Foster,crd
RB,4,.35%,0,0%,174,39.37%,WardJo00,Jonathan Ward,crd
WR,1043,92.14%,0,0%,0,0%,HopkDe00,DeAndre Hopkins,crd
WR,781,68.99%,0,0%,55,12.44%,KirkCh01,Christian Kirk,crd
WR,745,65.81%,0,0%,2,.45%,FitzLa00,Larry Fitzgerald,crd
"TE,WR",469,41.43%,0,0%,69,15.61%,ArnoDa00,Dan Arnold,crd
WR,214,18.90%,0,0%,4,.90%,JohnKe07,KeeSean Johnson,crd
WR,79,6.98%,0,0%,222,50.23%,SherTr00,Trent Sherfield,crd
WR,306,27.03%,0,0%,48,10.86%,IsabAn00,Andy Isabella,crd
TE,326,28.80%,0,0%,50,11.31%,WillMa04,Maxx Williams,crd
TE,365,32.24%,0,0%,101,22.85%,DaniDa02,Darrell Daniels,crd
TE,48,4.24%,0,0%,52,11.76%,DevaSe00,Seth Devalve,crd
TE,43,3.80%,0,0%,44,9.95%,BaylEv00,Evan Baylis,crd
TE,2,.18%,0,0%,17,3.85%,ThomJo05,Jordan Thomas,crd
OL,55,4.86%,0,0%,37,8.37%,JoneJo07,Josh Jones,crd
"OL,T",644,56.89%,0,0%,56,12.67%,SweeJ.00,J.R. Sweezy,crd
"OL,T",960,84.81%,0,0%,67,15.16%,PughJu00,Justin Pugh,crd
"OL,T",1131,99.91%,0,0%,78,17.65%,HumpD.00,D.J. Humphries,crd
"OL,T",603,53.27%,0,0%,57,12.90%,MurrJu00,Justin Murray,crd
"G,OL",1128,99.65%,0,0%,76,17.19%,BeacKe00,Kelvin Beachum,crd
"G,OL",219,19.35%,0,0%,69,15.61%,GailLa00,Lamont Gaillard,crd
"C,OL",914,80.74%,0,0%,33,7.47%,ColeMa02,Mason Cole,crd
"C,OL",69,6.10%,0,0%,66,14.93%,GarcMa00,Max Garcia,crd
DL,0,0%,92,8.30%,12,2.71%,MaurJo00,Josh Mauro,crd
